T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 FE ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 1.043e-27 2.22e-30 -6719.723 0.0 -0.0
298.15 FE ZR 1.0 0.0 -8133.465 -0.02978851 27.279676 -8133.435399399999 1043.0 2.22 -8133.465 0.0 -5837.568155846089
298.15 FE ZR 0.01 0.99 -6997.866 7141.408 47.423357 -14139.27388955 10.43 0.0222 -6733.86042 -138.82602141683572 -1.2173716933975972e-07
298.15 FE ZR 0.02 0.98 -7237.593 6975.491 47.670917 -14213.08390355 20.86 0.0444 -6747.997839999999 -243.03584172567548 -7.707477287391463e-06
298.15 FE ZR 0.03 0.97 -7460.295 6813.374 47.874121 -14273.669176149999 31.29 0.0666 -6762.13526 -334.02154674813943 -8.686631064102029e-05
298.15 FE ZR 0.04 0.96 -7670.519 6655.054 48.04821 -14325.573811499999 41.72 0.0888 -6776.27268 -416.3281974105132 -0.00048300851422781164
298.15 FE ZR 0.05 0.95 -7870.423 6500.527 48.200404 -14370.950452599998 52.15 0.111 -6790.410099999999 -492.11297050679866 -0.0018237377253851313
298.15 FE ZR 0.06 0.94 -8061.278 6349.784 48.334937 -14411.061466549998 62.58 0.1332 -6804.547519999999 -562.6452650375949 -0.005391022825081831
298.15 FE ZR 0.07 0.93 -8243.924 6202.806 48.454572 -14446.730641799999 73.01 0.1554 -6818.68494 -628.7628773593874 -0.013459980631745846
298.15 FE ZR 0.08 0.92 -8418.963 6059.568 48.56123 -14478.5307245 83.44 0.1776 -6832.82236 -691.0604007790716 -0.0297000666995776
298.15 FE ZR 0.09 0.91 -8586.846 5920.026 48.656287 -14506.871969049998 93.87 0.1998 -6846.95978 -749.9816351924776 -0.05963488252441791
298.15 FE ZR 0.1 0.9 -8747.929 5784.122 48.740738 -14532.051034699998 104.3 0.222 -6861.0972 -805.870345271772 -0.1111571782788611
298.15 FE ZR 0.11 0.89 -8902.502 5651.774 48.815283 -14554.276626449999 114.73 0.2442 -6875.23462 -859.000492370776 -0.19509598485936586
298.15 FE ZR 0.12 0.88 -9050.811 5522.875 48.880381 -14573.685595149998 125.16 0.2664 -6889.37204 -909.5953759771999 -0.3258331923045998
298.15 FE ZR 0.13 0.87 -9193.067 5397.284 48.936278 -14590.351285699999 135.59 0.2886 -6903.50946 -957.840348132521 -0.5219673891792395
298.15 FE ZR 0.14 0.86 -9329.464 5274.824 48.983023 -14604.28830745 146.02 0.3108 -6917.64688 -1003.8915915105914 -0.8070235485126451
298.15 FE ZR 0.15 0.85 -9460.178 5155.277 49.020474 -14615.454323099999 156.45 0.333 -6931.784299999999 -1047.882375954332 -1.2102084740511028
298.15 FE ZR 0.16 0.84 -9585.377 5038.372 49.048294 -14623.7488561 166.88 0.3552 -6945.92172 -1089.9276385420173 -1.7672142920549188
298.15 FE ZR 0.17 0.83 -9705.227 4923.785 49.065945 -14629.01150175 177.31 0.3774 -6960.059139999999 -1130.1274135160918 -2.5210764974203363
298.15 FE ZR 0.18 0.82 -9819.892 4811.127 49.072677 -14631.018647549998 187.74 0.3996 -6974.19656 -1168.5694517045056 -3.5231004638124275
298.15 FE ZR 0.19 0.81 -9929.541 4699.935 49.067505 -14629.476615749998 198.17 0.4218 -6988.333979999999 -1205.3312553507326 -4.833883083843802
298.15 FE ZR 0.2 0.8 -10034.35 4589.662 49.049177 -14624.012122549999 208.6 0.444 -7002.4714 -1240.4816826440385 -6.524477980236605
298.15 FE ZR 0.21 0.79 -10134.5 4479.657 49.016135 -14614.160650249998 219.03 0.4662 -7016.60882 -1274.08222978906 -8.677789934804087
298.15 FE ZR 0.22 0.78 -10230.2 4369.137 48.966432 -14599.341700799998 229.46 0.4884 -7030.7462399999995 -1306.188067542519 -11.390348589596279
