T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 GD SM 0.0 1.0 -18291.03 3383.115 72.695448 -21674.147821199997 0.0 0.0 -18291.03 0.0 -0.0
298.15 GD SM 1.0 0.0 -17556.99 3982.022 72.242212 -21539.015507799995 0.0 0.0 -17556.99 0.0 -0.0
298.15 GD SM 0.01 0.99 -18637.03 3202.588 73.250431 -21839.61600265 0.0 0.0 -18283.689599999998 -138.82602141683572 -0.0
298.15 GD SM 0.02 0.98 -18946.49 3023.416 73.687413 -21969.90218595 0.0 0.0 -18276.3492 -243.03584172567548 -0.0
298.15 GD SM 0.03 0.97 -19240.73 2845.673 74.078145 -22086.39893175 0.0 0.0 -18269.0088 -334.02154674813943 -0.0
298.15 GD SM 0.04 0.96 -19524.22 2669.431 74.43787 -22193.6509405 0.0 0.0 -18261.6684 -416.3281974105132 -0.0
298.15 GD SM 0.05 0.95 -19799.05 2494.766 74.773824 -22293.8156256 0.0 0.0 -18254.327999999998 -492.11297050679866 -0.0
298.15 GD SM 0.06 0.94 -20066.41 2321.751 75.090264 -22388.1622116 0.0 0.0 -18246.987599999997 -562.6452650375949 -0.0
298.15 GD SM 0.07 0.93 -20327.07 2150.46 75.390001 -22477.528798149997 0.0 0.0 -18239.6472 -628.7628773593874 -0.0
298.15 GD SM 0.08 0.92 -20581.54 1980.966 75.675028 -22562.5095982 0.0 0.0 -18232.3068 -691.0604007790716 -0.0
298.15 GD SM 0.09 0.91 -20830.2 1813.344 75.946834 -22643.548557099995 0.0 0.0 -18224.966399999998 -749.9816351924776 -0.0
298.15 GD SM 0.1 0.9 -21073.32 1647.667 76.206572 -22720.989441799997 0.0 0.0 -18217.626 -805.870345271772 -0.0
298.15 GD SM 0.11 0.89 -21311.1 1484.01 76.455161 -22795.10625215 0.0 0.0 -18210.2856 -859.000492370776 -0.0
298.15 GD SM 0.12 0.88 -21543.68 1322.446 76.693351 -22866.12260065 0.0 0.0 -18202.9452 -909.5953759771999 -0.0
298.15 GD SM 0.13 0.87 -21771.17 1163.05 76.921761 -22934.22304215 0.0 0.0 -18195.6048 -957.840348132521 -0.0
298.15 GD SM 0.14 0.86 -21993.67 1005.894 77.140918 -22999.564701699997 0.0 0.0 -18188.2644 -1003.8915915105914 -0.0
298.15 GD SM 0.15 0.85 -22211.23 851.0535 77.351266 -23062.2799579 0.0 0.0 -18180.924 -1047.882375954332 -0.0
298.15 GD SM 0.16 0.84 -22423.88 698.6017 77.553193 -23122.484492949996 0.0 0.0 -18173.583599999998 -1089.9276385420173 -0.0
298.15 GD SM 0.17 0.83 -22631.67 548.6125 77.747033 -23180.27788895 0.0 0.0 -18166.2432 -1130.1274135160918 -0.0
298.15 GD SM 0.18 0.82 -22834.59 401.16 77.93308 -23235.747801999998 0.0 0.0 -18158.9028 -1168.5694517045056 -0.0
298.15 GD SM 0.19 0.81 -23032.65 256.3179 78.111596 -23288.9723474 0.0 0.0 -18151.5624 -1205.3312553507326 -0.0
298.15 GD SM 0.2 0.8 -23225.86 114.1602 78.28281 -23340.0198015 0.0 0.0 -18144.222 -1240.4816826440385 -0.0
298.15 GD SM 0.21 0.79 -23414.19 -25.23931 78.446929 -23388.951881349996 0.0 0.0 -18136.8816 -1274.08222978906 -0.0
298.15 GD SM 0.22 0.78 -23597.63 -161.8067 78.604138 -23435.8237447 0.0 0.0 -18129.5412 -1306.188067542519 -0.0
298.15 GD SM 0.23 0.77 -23776.15 -295.468 78.754603 -23480.68488445 0.0 0.0 -18122.2008 -1336.8488881016199 -0.0
298.15 GD SM 0.24 0.76 -23949.73 -426.1495 78.898476 -23523.5806194 0.0 0.0 -18114.860399999998 -1366.1096036088943 -0.0
298.15 GD SM 0.25 0.75 -24118.33 -553.7772 79.035893 -23564.55149795 0.0 0.0 -18107.52 -1394.0109271940482 -0.0
298.15 GD SM 0.26 0.74 -24281.91 -678.2772 79.166977 -23603.63419255 0.0 0.0 -18100.1796 -1420.5898600324033 -0.0
298.15 GD SM 0.27 0.73 -24440.44 -799.5757 79.291843 -23640.862990449998 0.0 0.0 -18092.8392 -1445.8801024662048 -0.0
298.15 GD SM 0.28 0.72 -24593.87 -917.5988 79.410592 -23676.268004799997 0.0 0.0 -18085.4988 -1469.9124032129614 -0.0
298.15 GD SM 0.29 0.71 -24742.15 -1032.272 79.52332 -23709.877857999996 0.0 0.0 -18078.1584 -1492.7148576699553 -0.0
298.15 GD SM 0.3 0.7 -24885.24 -1143.523 79.630113 -23741.718190949996 0.0 0.0 -18070.818 -1514.313164037668 -0.0
298.15 GD SM 0.31 0.69 -25023.09 -1251.277 79.731048 -23771.811961199997 0.0 0.0 -18063.4776 -1534.730844232385 -0.0
298.15 GD SM 0.32 0.68 -25155.64 -1355.459 79.8262 -23800.181529999998 0.0 0.0 -18056.137199999997 -1553.9894352015579 -0.0
298.15 GD SM 0.33 0.67 -25282.84 -1455.997 79.915633 -23826.845978949998 0.0 0.0 -18048.796799999996 -1572.1086551954763 -0.0
298.15 GD SM 0.34 0.66 -25404.64 -1552.816 79.999409 -23851.82379335 0.0 0.0 -18041.4564 -1589.1065487133012 -0.0
298.15 GD SM 0.35 0.65 -25520.97 -1645.842 80.077582 -23875.1310733 0.0 0.0 -18034.116 -1604.9996131775667 -0.0
298.15 GD SM 0.36 0.64 -25631.78 -1735.002 80.150203 -23896.78302445 0.0 0.0 -18026.7756 -1619.8029098595373 -0.0
298.15 GD SM 0.37 0.63 -25737.01 -1820.221 80.217318 -23916.7933617 0.0 0.0 -18019.4352 -1633.5301611487748 -0.0
298.15 GD SM 0.38 0.62 -25836.6 -1901.426 80.27897 -23935.1749055 0.0 0.0 -18012.0948 -1646.193835911596 -0.0
298.15 GD SM 0.39 0.61 -25930.48 -1978.543 80.335195 -23951.938389249997 0.0 0.0 -18004.7544 -1657.8052243977716 -0.0
298.15 GD SM 0.4 0.6 -26018.59 -2051.498 80.386028 -23967.094248199995 0.0 0.0 -17997.414 -1668.3745039196444 -0.0
298.15 GD SM 0.41 0.59 -26100.87 -2120.217 80.4315 -23980.651725 0.0 0.0 -17990.0736 -1677.9107963326926 -0.0
298.15 GD SM 0.42 0.58 -26177.25 -2184.627 80.471637 -23992.61857155 0.0 0.0 -17982.733200000002 -1686.4222181834425 -0.0
298.15 GD SM 0.43 0.57 -26247.65 -2244.652 80.506465 -24003.00253975 0.0 0.0 -17975.3928 -1693.9159242532326 -0.0
298.15 GD SM 0.44 0.56 -26312.03 -2300.22 80.536003 -24011.809294449995 0.0 0.0 -17968.0524 -1700.3981451097393 -0.0
298.15 GD SM 0.45 0.55 -26370.3 -2351.257 80.56027 -24019.0445005 0.0 0.0 -17960.712 -1705.8742191782392 -0.0
298.15 GD SM 0.46 0.54 -26422.4 -2397.688 80.57928 -24024.712331999996 0.0 0.0 -17953.3716 -1710.3486197582595 -0.0
298.15 GD SM 0.47 0.53 -26468.26 -2439.44 80.593046 -24028.816664899998 0.0 0.0 -17946.031199999998 -1713.8249773357109 -0.0
298.15 GD SM 0.48 0.52 -26507.8 -2476.439 80.601577 -24031.36018255 0.0 0.0 -17938.6908 -1716.3060974737868 -0.0
298.15 GD SM 0.49 0.51 -26540.96 -2508.61 80.60488 -24032.344971999995 0.0 0.0 -17931.3504 -1717.7939745058845 -0.0
298.15 GD SM 0.5 0.5 -26567.65 -2535.881 80.602959 -24031.772225849996 0.0 0.0 -17924.010000000002 -1718.289801199083 -0.0
298.15 GD SM 0.51 0.49 -26587.82 -2558.178 80.595816 -24029.642540399997 0.0 0.0 -17916.6696 -1717.7939745058845 -0.0
298.15 GD SM 0.52 0.48 -26601.38 -2575.425 80.583448 -24025.9550212 0.0 0.0 -17909.3292 -1716.3060974737868 -0.0
298.15 GD SM 0.53 0.47 -26608.26 -2587.55 80.565852 -24020.7087738 0.0 0.0 -17901.9888 -1713.8249773357109 -0.0
298.15 GD SM 0.54 0.46 -26608.38 -2594.479 80.543021 -24013.901711149996 0.0 0.0 -17894.6484 -1710.3486197582595 -0.0
298.15 GD SM 0.55 0.45 -26601.67 -2596.137 80.514946 -24005.531149899998 0.0 0.0 -17887.307999999997 -1705.8742191782392 -0.0
298.15 GD SM 0.56 0.44 -26588.04 -2592.451 80.481615 -23995.59351225 0.0 0.0 -17879.9676 -1700.3981451097393 -0.0
298.15 GD SM 0.57 0.43 -26567.43 -2583.348 80.443012 -23984.084027799996 0.0 0.0 -17872.627200000003 -1693.9159242532328 -0.0
298.15 GD SM 0.58 0.42 -26539.75 -2568.752 80.39912 -23970.997627999997 0.0 0.0 -17865.2868 -1686.4222181834425 -0.0
298.15 GD SM 0.59 0.41 -26504.92 -2548.59 80.349917 -23956.32775355 0.0 0.0 -17857.9464 -1677.910796332693 -0.0
298.15 GD SM 0.6 0.4 -26462.86 -2522.789 80.295381 -23940.06784515 0.0 0.0 -17850.606 -1668.3745039196444 -0.0
298.15 GD SM 0.61 0.39 -26413.48 -2491.274 80.235483 -23922.209256449998 0.0 0.0 -17843.2656 -1657.8052243977716 -0.0
298.15 GD SM 0.62 0.38 -26356.71 -2453.971 80.170193 -23902.74304295 0.0 0.0 -17835.925199999998 -1646.193835911596 -0.0
298.15 GD SM 0.63 0.37 -26292.47 -2410.807 80.099477 -23881.659067549997 0.0 0.0 -17828.5848 -1633.5301611487748 -0.0
298.15 GD SM 0.64 0.36 -26220.65 -2361.708 80.023297 -23858.946000549997 0.0 0.0 -17821.2444 -1619.8029098595373 -0.0
298.15 GD SM 0.65 0.35 -26141.19 -2306.6 79.941611 -23834.591319649997 0.0 0.0 -17813.904000000002 -1604.9996131775667 -0.0
298.15 GD SM 0.66 0.34 -26053.99 -2245.409 79.854373 -23808.581309949997 0.0 0.0 -17806.5636 -1589.106548713301 -0.0
298.15 GD SM 0.67 0.33 -25958.96 -2178.061 79.761533 -23780.901063949997 0.0 0.0 -17799.2232 -1572.1086551954763 -0.0
298.15 GD SM 0.68 0.32 -25856.02 -2104.482 79.663035 -23751.533885249995 0.0 0.0 -17791.8828 -1553.9894352015576 -0.0
298.15 GD SM 0.69 0.31 -25745.06 -2024.598 79.558819 -23720.46188485 0.0 0.0 -17784.5424 -1534.730844232385 -0.0
298.15 GD SM 0.7 0.3 -25626.0 -1938.336 79.448818 -23687.6650867 0.0 0.0 -17777.202 -1514.313164037668 -0.0
298.15 GD SM 0.71 0.29 -25498.74 -1845.621 79.332961 -23653.122322149997 0.0 0.0 -17769.8616 -1492.7148576699553 -0.0
298.15 GD SM 0.72 0.28 -25363.19 -1746.38 79.211169 -23616.81003735 0.0 0.0 -17762.521200000003 -1469.9124032129614 -0.0
298.15 GD SM 0.73 0.27 -25219.24 -1640.539 79.083354 -23578.701995099997 0.0 0.0 -17755.180800000002 -1445.8801024662048 -0.0
298.15 GD SM 0.74 0.26 -25066.79 -1528.024 78.949424 -23538.770765599995 0.0 0.0 -17747.8404 -1420.5898600324033 -0.0
298.15 GD SM 0.75 0.25 -24905.75 -1408.761 78.809275 -23496.985341249998 0.0 0.0 -17740.5 -1394.0109271940482 -0.0
298.15 GD SM 0.76 0.24 -24735.99 -1282.676 78.662794 -23453.3120311 0.0 0.0 -17733.1596 -1366.1096036088943 -0.0
298.15 GD SM 0.77 0.23 -24557.41 -1149.695 78.509856 -23407.713566399998 0.0 0.0 -17725.8192 -1336.8488881016199 -0.0
298.15 GD SM 0.78 0.22 -24369.89 -1009.744 78.350326 -23360.149696899996 0.0 0.0 -17718.4788 -1306.188067542519 -0.0
298.15 GD SM 0.79 0.21 -24173.33 -862.7505 78.184052 -23310.575103799998 0.0 0.0 -17711.1384 -1274.08222978906 -0.0
298.15 GD SM 0.8 0.2 -23967.58 -708.6391 78.010869 -23258.940592349998 0.0 0.0 -17703.798000000003 -1240.4816826440385 -0.0
298.15 GD SM 0.81 0.19 -23752.53 -547.3365 77.83059 -23205.1904085 0.0 0.0 -17696.4576 -1205.3312553507324 -0.0
298.15 GD SM 0.82 0.18 -23528.03 -378.7687 77.64301 -23149.2634315 0.0 0.0 -17689.1172 -1168.5694517045058 -0.0
