T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 GE MN 0.0 1.0 -6300.583 3888.498 34.174348 -10189.0818562 580.0 0.27 -6300.583 0.0 -413.1990706628121
298.15 GE MN 1.0 0.0 17823.99 34100.0 54.590002 -16276.009096299998 5.8e-10 2.7e-13 17823.99 0.0 -7.960477393113495e-70
298.15 GE MN 0.01 0.99 -6589.843 3799.844 34.847178 -10389.686120699998 574.2 0.2673 -6059.33727 -138.82602141683572 -400.11873971202965
298.15 GE MN 0.02 0.98 -6797.192 3758.528 35.404056 -10555.719296399999 568.4 0.2646 -5818.091539999999 -243.03584172567548 -387.2173699841187
298.15 GE MN 0.03 0.97 -6945.229 3763.346 35.916738 -10708.5754347 562.6 0.2619 -5576.84581 -334.02154674813943 -374.4959039837361
298.15 GE MN 0.04 0.96 -7039.706 3813.095 36.400473 -10852.801024949998 556.8 0.2592 -5335.600079999999 -416.3281974105132 -361.9553094428378
298.15 GE MN 0.05 0.95 -7083.987 3906.568 36.862501 -10990.55467315 551.0 0.2565 -5094.35435 -492.11297050679866 -349.5965808491786
298.15 GE MN 0.06 0.94 -7080.547 4042.561 37.307087 -11123.10798905 545.2 0.2538 -4853.108619999999 -562.6452650375949 -337.4207411003242
298.15 GE MN 0.07 0.93 -7031.43 4219.871 37.737046 -11251.3002649 539.4 0.2511 -4611.8628899999985 -628.7628773593874 -325.42884329593306
298.15 GE MN 0.08 0.92 -6938.437 4437.292 38.154381 -11375.72869515 533.6 0.2484 -4370.61716 -691.0604007790716 -313.6219726826328
298.15 GE MN 0.09 0.91 -6803.219 4693.62 38.560586 -11496.8387159 527.8 0.2457 -4129.37143 -749.9816351924776 -302.00124876764124
298.15 GE MN 0.1 0.9 -6627.326 4987.651 38.956823 -11614.97677745 522.0 0.243 -3888.1256999999996 -805.870345271772 -290.5678276193599
298.15 GE MN 0.11 0.89 -6412.238 5318.18 39.344017 -11730.418668549999 516.2 0.2403 -3646.87997 -859.000492370776 -279.32290437558953
298.15 GE MN 0.12 0.88 -6159.386 5684.005 39.722928 -11843.3909832 510.4 0.2376 -3405.63424 -909.5953759771999 -268.26771598281533
298.15 GE MN 0.13 0.87 -5870.16 6083.921 40.094185 -11954.08125775 504.6 0.2349 -3164.3885099999993 -957.840348132521 -257.4035441932757
298.15 GE MN 0.14 0.86 -5545.925 6516.724 40.458323 -12062.64900245 498.8 0.2322 -2923.142779999999 -1003.8915915105914 -246.73171885032912
