T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 HF SN 0.0 1.0 -12648.2 4400.0 57.179958 -17048.204477699997 0.0 0.0 -12648.2 0.0 -0.0
298.15 HF SN 1.0 0.0 -2998.588 12377.8 51.572669 -15376.391262349998 0.0 0.0 -2998.588 0.0 -0.0
298.15 HF SN 0.01 0.99 -13452.29 3693.003 57.505605 -17145.29613075 0.0 0.0 -12551.703880000001 -138.82602141683572 -0.0
298.15 HF SN 0.02 0.98 -14206.38 3001.901 57.716844 -17208.277038599997 0.0 0.0 -12455.207760000001 -243.03584172567548 -0.0
298.15 HF SN 0.03 0.97 -14931.85 2326.693 57.885424 -17258.5391656 0.0 0.0 -12358.711640000001 -334.02154674813943 -0.0
298.15 HF SN 0.04 0.96 -15633.25 1667.38 58.026589 -17300.627510349997 0.0 0.0 -12262.215520000002 -416.3281974105132 -0.0
298.15 HF SN 0.05 0.95 -16312.74 1023.961 58.147574 -17336.6991881 0.0 0.0 -12165.719400000002 -492.11297050679866 -0.0
298.15 HF SN 0.06 0.94 -16971.59 396.4361 58.252638 -17368.0240197 0.0 0.0 -12069.22328 -562.6452650375949 -0.0
298.15 HF SN 0.07 0.93 -17610.63 -215.194 58.34459 -17395.439508499996 0.0 0.0 -11972.727159999999 -628.7628773593874 -0.0
298.15 HF SN 0.08 0.92 -18230.47 -810.9297 58.425424 -17419.5401656 0.0 0.0 -11876.23104 -691.0604007790716 -0.0
298.15 HF SN 0.09 0.91 -18831.54 -1390.771 58.496629 -17440.76993635 0.0 0.0 -11779.73492 -749.9816351924776 -0.0
298.15 HF SN 0.1 0.9 -19414.19 -1954.718 58.559358 -17459.4725877 0.0 0.0 -11683.238800000001 -805.870345271772 -0.0
298.15 HF SN 0.11 0.89 -19978.69 -2502.77 58.61453 -17475.9221195 0.0 0.0 -11586.742680000001 -859.000492370776 -0.0
298.15 HF SN 0.12 0.88 -20525.27 -3034.928 58.662893 -17490.341547949996 0.0 0.0 -11490.246560000001 -909.5953759771999 -0.0
298.15 HF SN 0.13 0.87 -21054.11 -3551.191 58.70507 -17502.9166205 0.0 0.0 -11393.750440000002 -957.840348132521 -0.0
298.15 HF SN 0.14 0.86 -21565.36 -4051.56 58.741585 -17513.803567749997 0.0 0.0 -11297.254320000002 -1003.8915915105914 -0.0
298.15 HF SN 0.15 0.85 -22059.17 -4536.035 58.772883 -17523.13506645 0.0 0.0 -11200.758200000002 -1047.882375954332 -0.0
298.15 HF SN 0.16 0.84 -22535.64 -5004.615 58.799351 -17531.026500649998 0.0 0.0 -11104.262079999999 -1089.9276385420173 -0.0
298.15 HF SN 0.17 0.83 -22994.88 -5457.301 58.821325 -17537.578048749998 0.0 0.0 -11007.765959999999 -1130.1274135160918 -0.0
298.15 HF SN 0.18 0.82 -23436.97 -5894.092 58.839098 -17542.8770687 0.0 0.0 -10911.26984 -1168.5694517045056 -0.0
298.15 HF SN 0.19 0.81 -23861.99 -6314.989 58.85293 -17547.001079499998 0.0 0.0 -10814.773720000001 -1205.3312553507326 -0.0
298.15 HF SN 0.2 0.8 -24270.01 -6719.991 58.863053 -17550.019251949998 0.0 0.0 -10718.277600000001 -1240.4816826440385 -0.0
298.15 HF SN 0.21 0.79 -24661.09 -7109.099 58.869673 -17551.99300495 0.0 0.0 -10621.781480000001 -1274.08222978906 -0.0
298.15 HF SN 0.22 0.78 -25035.29 -7482.313 58.872975 -17552.977496249998 0.0 0.0 -10525.285360000002 -1306.188067542519 -0.0
298.15 HF SN 0.23 0.77 -25392.65 -7839.632 58.873125 -17553.02221875 0.0 0.0 -10428.789240000002 -1336.8488881016199 -0.0
298.15 HF SN 0.24 0.76 -25733.23 -8181.056 58.870274 -17552.1721931 0.0 0.0 -10332.293120000002 -1366.1096036088943 -0.0
298.15 HF SN 0.25 0.75 -26057.05 -8506.587 58.864558 -17550.4679677 0.0 0.0 -10235.797000000002 -1394.0109271940482 -0.0
298.15 HF SN 0.26 0.74 -26364.17 -8816.222 58.856103 -17547.947109449997 0.0 0.0 -10139.300879999999 -1420.5898600324033 -0.0
298.15 HF SN 0.27 0.73 -26654.61 -9109.964 58.84502 -17544.642712999997 0.0 0.0 -10042.804759999999 -1445.8801024662048 -0.0
298.15 HF SN 0.28 0.72 -26928.4 -9387.811 58.831413 -17540.58578595 0.0 0.0 -9946.30864 -1469.9124032129614 -0.0
298.15 HF SN 0.29 0.71 -27185.57 -9649.763 58.815376 -17535.8043544 0.0 0.0 -9849.81252 -1492.7148576699553 -0.0
298.15 HF SN 0.3 0.7 -27426.15 -9895.821 58.796996 -17530.324357399997 0.0 0.0 -9753.3164 -1514.313164037668 -0.0
298.15 HF SN 0.31 0.69 -27650.15 -10125.98 58.776351 -17524.169050649998 0.0 0.0 -9656.82028 -1534.730844232385 -0.0
