T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 LI CA 0.0 1.0 -8682.128 -9.985977e-05 29.12 -8682.127999999999 0.0 0.0 -8682.128 0.0 -0.0
298.15 LI CA 1.0 0.0 -11663.79 1405.08 43.8332 -13068.868579999998 0.0 0.0 -11663.79 0.0 -0.0
298.15 LI CA 0.01 0.99 -8791.371 73.4507 29.732757 -8864.821499549998 0.0 0.0 -8711.94462 -138.82602141683572 -0.0
298.15 LI CA 0.02 0.98 -8867.197 145.7015 30.229411 -9012.89888965 0.0 0.0 -8741.76124 -243.03584172567548 -0.0
298.15 LI CA 0.03 0.97 -8931.0 216.7523 30.681711 -9147.75213465 0.0 0.0 -8771.57786 -334.02154674813943 -0.0
298.15 LI CA 0.04 0.96 -8987.323 286.6031 31.104901 -9273.92623315 0.0 0.0 -8801.39448 -416.3281974105132 -0.0
298.15 LI CA 0.05 0.95 -9038.325 355.2539 31.506217 -9393.578598549999 0.0 0.0 -8831.2111 -492.11297050679866 -0.0
298.15 LI CA 0.06 0.94 -9085.274 422.7047 31.889916 -9507.9784554 0.0 0.0 -8861.02772 -562.6452650375949 -0.0
298.15 LI CA 0.07 0.93 -9129.008 488.9555 32.258808 -9617.9636052 0.0 0.0 -8890.84434 -628.7628773593874 -0.0
298.15 LI CA 0.08 0.92 -9170.122 554.0063 32.614887 -9724.128559050001 0.0 0.0 -8920.660960000001 -691.0604007790716 -0.0
298.15 LI CA 0.09 0.91 -9209.06 617.8571 32.959642 -9826.9172623 0.0 0.0 -8950.47758 -749.9816351924776 -0.0
298.15 LI CA 0.1 0.9 -9246.165 680.5079 33.294226 -9926.6734819 0.0 0.0 -8980.2942 -805.870345271772 -0.0
298.15 LI CA 0.11 0.89 -9281.712 741.9587 33.619557 -10023.670919549999 0.0 0.0 -9010.11082 -859.000492370776 -0.0
298.15 LI CA 0.12 0.88 -9315.924 802.2095 33.936386 -10118.133485899998 0.0 0.0 -9039.92744 -909.5953759771999 -0.0
298.15 LI CA 0.13 0.87 -9348.985 861.2603 34.245332 -10210.2457358 0.0 0.0 -9069.74406 -957.840348132521 -0.0
298.15 LI CA 0.14 0.86 -9381.053 919.1111 34.546921 -10300.164496149999 0.0 0.0 -9099.56068 -1003.8915915105914 -0.0
298.15 LI CA 0.15 0.85 -9412.261 975.7619 34.841599 -10388.02274185 0.0 0.0 -9129.3773 -1047.882375954332 -0.0
298.15 LI CA 0.16 0.84 -9442.723 1031.213 35.129752 -10473.9355588 0.0 0.0 -9159.193920000002 -1089.9276385420173 -0.0
298.15 LI CA 0.17 0.83 -9472.539 1085.464 35.411715 -10558.00282725 0.0 0.0 -9189.010540000001 -1130.1274135160918 -0.0
