T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 MO SI 0.0 1.0 34683.41 47000.0 41.310031 -12316.58574265 0.0 0.0 34683.41 0.0 -0.0
298.15 MO SI 1.0 0.0 -8515.141 -0.002619656 28.559915 -8515.13865725 0.0 0.0 -8515.141 0.0 -0.0
298.15 MO SI 0.01 0.99 33533.36 45936.0 41.598655 -12402.638988249999 0.0 0.0 34251.424490000005 -138.82602141683572 -0.0
298.15 MO SI 0.02 0.98 32429.62 44884.0 41.772176 -12454.3742744 0.0 0.0 33819.438980000006 -243.03584172567548 -0.0
298.15 MO SI 0.03 0.97 31350.82 43844.0 41.902343 -12493.18356545 0.0 0.0 33387.45347 -334.02154674813943 -0.0
298.15 MO SI 0.04 0.96 30292.39 42816.0 42.0044 -12523.611859999997 0.0 0.0 32955.46796 -416.3281974105132 -0.0
298.15 MO SI 0.05 0.95 29252.18 41800.0 42.085582 -12547.816273299999 0.0 0.0 32523.482450000003 -492.11297050679866 -0.0
298.15 MO SI 0.06 0.94 28228.93 40796.0 42.150148 -12567.0666262 0.0 0.0 32091.49694 -562.6452650375949 -0.0
298.15 MO SI 0.07 0.93 27221.8 39804.0 42.200907 -12582.200422049998 0.0 0.0 31659.51143 -628.7628773593874 -0.0
298.15 MO SI 0.08 0.92 26230.19 38824.0 42.239853 -12593.812171949998 0.0 0.0 31227.525920000004 -691.0604007790716 -0.0
298.15 MO SI 0.09 0.91 25253.65 37856.0 42.268474 -12602.345523099999 0.0 0.0 30795.54041 -749.9816351924776 -0.0
298.15 MO SI 0.1 0.9 24291.85 36900.0 42.287925 -12608.144838749999 0.0 0.0 30363.554900000003 -805.870345271772 -0.0
298.15 MO SI 0.11 0.89 23344.52 35956.0 42.299124 -12611.483820599999 0.0 0.0 29931.569390000004 -859.000492370776 -0.0
298.15 MO SI 0.12 0.88 22411.41 35024.0 42.302819 -12612.585484849998 0.0 0.0 29499.583880000002 -909.5953759771999 -0.0
298.15 MO SI 0.13 0.87 21492.36 34104.0 42.299632 -12611.6352808 0.0 0.0 29067.598370000003 -957.840348132521 -0.0
298.15 MO SI 0.14 0.86 20587.21 33196.0 42.290088 -12608.789737199999 0.0 0.0 28635.61286 -1003.8915915105914 -0.0
298.15 MO SI 0.15 0.85 19695.82 32300.0 42.274633 -12604.181828949999 0.0 0.0 28203.627350000002 -1047.882375954332 -0.0
298.15 MO SI 0.16 0.84 18818.07 31416.0 42.253652 -12597.9263438 0.0 0.0 27771.641840000004 -1089.9276385420173 -0.0
298.15 MO SI 0.17 0.83 17953.88 30544.0 42.227482 -12590.1237583 0.0 0.0 27339.65633 -1130.1274135160918 -0.0
298.15 MO SI 0.18 0.82 17103.14 29684.0 42.196416 -12580.861430399998 0.0 0.0 26907.670820000007 -1168.5694517045056 -0.0
298.15 MO SI 0.19 0.81 16265.78 28836.0 42.160715 -12570.21717725 0.0 0.0 26475.685310000008 -1205.3312553507326 -0.0
298.15 MO SI 0.2 0.8 15441.74 28000.0 42.120609 -12558.25957335 0.0 0.0 26043.699800000002 -1240.4816826440385 -0.0
298.15 MO SI 0.21 0.79 14630.95 27176.0 42.076305 -12545.050335749998 0.0 0.0 25611.714290000004 -1274.08222978906 -0.0
298.15 MO SI 0.22 0.78 13833.35 26364.0 42.027987 -12530.64432405 0.0 0.0 25179.72878 -1306.188067542519 -0.0
298.15 MO SI 0.23 0.77 13048.91 25564.0 41.975823 -12515.091627449998 0.0 0.0 24747.743270000003 -1336.8488881016199 -0.0
298.15 MO SI 0.24 0.76 12277.56 24776.0 41.919963 -12498.43696845 0.0 0.0 24315.757760000004 -1366.1096036088943 -0.0
298.15 MO SI 0.25 0.75 11519.28 24000.0 41.860543 -12480.720895449998 0.0 0.0 23883.77225 -1394.0109271940482 -0.0
