T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 MO W 0.0 1.0 -9724.927 0.0001853305 32.617565 -9724.92700475 0.0 0.0 -9724.927 0.0 -0.0
298.15 MO W 1.0 0.0 -8515.141 -0.002619641 28.559915 -8515.13865725 0.0 0.0 -8515.141 0.0 -0.0
298.15 MO W 0.01 0.99 -9831.855 19.80016 33.042614 -9851.6553641 0.0 0.0 -9712.82914 -138.82602141683572 -0.0
298.15 MO W 0.02 0.98 -9904.567 39.20013 33.351559 -9943.76731585 0.0 0.0 -9700.73128 -243.03584172567548 -0.0
298.15 MO W 0.03 0.97 -9964.455 58.2001 33.61615 -10022.655122499998 0.0 0.0 -9688.633419999998 -334.02154674813943 -0.0
298.15 MO W 0.04 0.96 -10016.06 76.80007 33.851632 -10092.8640808 0.0 0.0 -9676.535559999998 -416.3281974105132 -0.0
298.15 MO W 0.05 0.95 -10061.55 95.00005 34.065239 -10156.55100785 0.0 0.0 -9664.437699999999 -492.11297050679866 -0.0
298.15 MO W 0.06 0.94 -10102.19 112.8 34.26123 -10214.985724499998 0.0 0.0 -9652.33984 -562.6452650375949 -0.0
298.15 MO W 0.07 0.93 -10138.81 130.2 34.442413 -10269.005435949999 0.0 0.0 -9640.241979999999 -628.7628773593874 -0.0
298.15 MO W 0.08 0.92 -10172.01 147.2 34.610784 -10319.2052496 0.0 0.0 -9628.144119999999 -691.0604007790716 -0.0
298.15 MO W 0.09 0.91 -10202.23 163.7999 34.76783 -10366.028514499998 0.0 0.0 -9616.04626 -749.9816351924776 -0.0
298.15 MO W 0.1 0.9 -10229.82 179.9999 34.914705 -10409.819295749998 0.0 0.0 -9603.948400000001 -805.870345271772 -0.0
298.15 MO W 0.11 0.89 -10255.05 195.7999 35.052329 -10450.85189135 0.0 0.0 -9591.850540000001 -859.000492370776 -0.0
298.15 MO W 0.12 0.88 -10278.15 211.1998 35.181448 -10489.3487212 0.0 0.0 -9579.75268 -909.5953759771999 -0.0
298.15 MO W 0.13 0.87 -10299.3 226.1998 35.302686 -10525.4958309 0.0 0.0 -9567.65482 -957.840348132521 -0.0
298.15 MO W 0.14 0.86 -10318.65 240.7998 35.416567 -10559.449451049999 0.0 0.0 -9555.55696 -1003.8915915105914 -0.0
298.15 MO W 0.15 0.85 -10336.34 254.9998 35.523536 -10591.3422584 0.0 0.0 -9543.4591 -1047.882375954332 -0.0
298.15 MO W 0.16 0.84 -10352.49 268.7997 35.62398 -10621.289637 0.0 0.0 -9531.361239999998 -1089.9276385420173 -0.0
298.15 MO W 0.17 0.83 -10367.19 282.1997 35.718235 -10649.391765249999 0.0 0.0 -9519.263379999999 -1130.1274135160918 -0.0
298.15 MO W 0.18 0.82 -10380.54 295.1997 35.806594 -10675.736001099998 0.0 0.0 -9507.16552 -1168.5694517045056 -0.0
298.15 MO W 0.19 0.81 -10392.6 307.7997 35.889317 -10700.39986355 0.0 0.0 -9495.06766 -1205.3312553507326 -0.0
298.15 MO W 0.2 0.8 -10403.45 319.9996 35.966636 -10723.4525234 0.0 0.0 -9482.9698 -1240.4816826440385 -0.0
298.15 MO W 0.21 0.79 -10413.16 331.7996 36.038756 -10744.955101399999 0.0 0.0 -9470.871939999999 -1274.08222978906 -0.0
298.15 MO W 0.22 0.78 -10421.76 343.1996 36.105863 -10764.96305345 0.0 0.0 -9458.77408 -1306.188067542519 -0.0
298.15 MO W 0.23 0.77 -10429.33 354.1995 36.168124 -10783.526170599998 0.0 0.0 -9446.676220000001 -1336.8488881016199 -0.0
298.15 MO W 0.24 0.76 -10435.89 364.7995 36.225688 -10800.688877199998 0.0 0.0 -9434.57836 -1366.1096036088943 -0.0
298.15 MO W 0.25 0.75 -10441.49 374.9995 36.278693 -10816.492317949998 0.0 0.0 -9422.4805 -1394.0109271940482 -0.0
298.15 MO W 0.26 0.74 -10446.17 384.7995 36.327263 -10830.97346345 0.0 0.0 -9410.38264 -1420.5898600324033 -0.0
298.15 MO W 0.27 0.73 -10449.97 394.1994 36.371511 -10844.166004649998 0.0 0.0 -9398.28478 -1445.8801024662048 -0.0
298.15 MO W 0.28 0.72 -10452.9 403.1994 36.411539 -10856.100352849999 0.0 0.0 -9386.18692 -1469.9124032129614 -0.0
298.15 MO W 0.29 0.71 -10455.01 411.7994 36.447442 -10866.8048323 0.0 0.0 -9374.089059999998 -1492.7148576699553 -0.0
298.15 MO W 0.3 0.7 -10456.31 419.9993 36.479307 -10876.305382049999 0.0 0.0 -9361.991199999999 -1514.313164037668 -0.0
298.15 MO W 0.31 0.69 -10456.83 427.7993 36.507212 -10884.6252578 0.0 0.0 -9349.893339999999 -1534.730844232385 -0.0
298.15 MO W 0.32 0.68 -10456.59 435.1993 36.531229 -10891.78592635 0.0 0.0 -9337.795479999999 -1553.9894352015579 -0.0
298.15 MO W 0.33 0.67 -10455.61 442.1993 36.551425 -10897.80736375 0.0 0.0 -9325.697619999999 -1572.1086551954763 -0.0
298.15 MO W 0.34 0.66 -10453.91 448.7992 36.56786 -10902.707459 0.0 0.0 -9313.59976 -1589.1065487133012 -0.0
298.15 MO W 0.35 0.65 -10451.5 454.9992 36.580589 -10906.50261035 0.0 0.0 -9301.5019 -1604.9996131775667 -0.0
298.15 MO W 0.36 0.64 -10448.41 460.7992 36.589663 -10909.208023449999 0.0 0.0 -9289.40404 -1619.8029098595373 -0.0
298.15 MO W 0.37 0.63 -10444.64 466.1991 36.595128 -10910.8374132 0.0 0.0 -9277.30618 -1633.5301611487748 -0.0
298.15 MO W 0.38 0.62 -10440.2 471.1991 36.597026 -10911.4033019 0.0 0.0 -9265.20832 -1646.193835911596 -0.0
