T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NA K 0.0 1.0 -15295.09 0.001639839 51.300004 -15295.0961926 0.0 0.0 -15295.09 0.0 -0.0
298.15 NA K 1.0 0.0 -19284.34 -0.002425045 64.679997 -19284.34110555 0.0 0.0 -19284.34 0.0 -0.0
298.15 NA K 0.01 0.99 -15371.04 129.4115 51.988767 -15500.45088105 0.0 0.0 -15334.9825 -138.82602141683572 -0.0
298.15 NA K 0.02 0.98 -15415.07 255.6982 52.560013 -15670.767875949998 0.0 0.0 -15374.875 -243.03584172567548 -0.0
298.15 NA K 0.03 0.97 -15448.56 378.8772 53.085481 -15827.436160149999 0.0 0.0 -15414.767499999998 -334.02154674813943 -0.0
298.15 NA K 0.04 0.96 -15476.03 498.9642 53.580402 -15974.996856299998 0.0 0.0 -15454.66 -416.3281974105132 -0.0
298.15 NA K 0.05 0.95 -15499.63 615.9746 54.052 -16115.603799999999 0.0 0.0 -15494.5525 -492.11297050679866 -0.0
298.15 NA K 0.06 0.94 -15520.6 729.9242 54.504521 -16250.522936149999 0.0 0.0 -15534.445 -562.6452650375949 -0.0
298.15 NA K 0.07 0.93 -15539.76 840.8284 54.940761 -16380.587892149999 0.0 0.0 -15574.3375 -628.7628773593874 -0.0
298.15 NA K 0.08 0.92 -15557.69 948.7029 55.362704 -16506.390197599998 0.0 0.0 -15614.230000000001 -691.0604007790716 -0.0
298.15 NA K 0.09 0.91 -15574.81 1053.563 55.771826 -16628.369921899997 0.0 0.0 -15654.1225 -749.9816351924776 -0.0
298.15 NA K 0.1 0.9 -15591.44 1155.425 56.169269 -16746.86755235 0.0 0.0 -15694.015 -805.870345271772 -0.0
298.15 NA K 0.11 0.89 -15607.85 1254.304 56.555938 -16862.152914699996 0.0 0.0 -15733.907500000001 -859.000492370776 -0.0
298.15 NA K 0.12 0.88 -15624.23 1350.215 56.932571 -16974.44604365 0.0 0.0 -15773.800000000001 -909.5953759771999 -0.0
298.15 NA K 0.13 0.87 -15640.75 1443.174 57.299777 -17083.92851255 0.0 0.0 -15813.692500000001 -957.840348132521 -0.0
298.15 NA K 0.14 0.86 -15657.56 1533.197 57.658069 -17190.753272349997 0.0 0.0 -15853.585 -1003.8915915105914 -0.0
298.15 NA K 0.15 0.85 -15674.75 1620.3 58.007882 -17295.0500183 0.0 0.0 -15893.477499999999 -1047.882375954332 -0.0
298.15 NA K 0.16 0.84 -15692.43 1704.497 58.349588 -17396.929662199997 0.0 0.0 -15933.369999999999 -1089.9276385420173 -0.0
298.15 NA K 0.17 0.83 -15710.68 1785.805 58.683511 -17496.48880465 0.0 0.0 -15973.2625 -1130.1274135160918 -0.0
298.15 NA K 0.18 0.82 -15729.57 1864.238 59.009935 -17593.812120249997 0.0 0.0 -16013.155000000002 -1168.5694517045056 -0.0
298.15 NA K 0.19 0.81 -15749.16 1939.814 59.329106 -17688.9729539 0.0 0.0 -16053.047500000002 -1205.3312553507326 -0.0
298.15 NA K 0.2 0.8 -15769.49 2012.546 59.641243 -17782.03660045 0.0 0.0 -16092.94 -1240.4816826440385 -0.0
298.15 NA K 0.21 0.79 -15790.61 2082.451 59.946542 -17873.061497299997 0.0 0.0 -16132.8325 -1274.08222978906 -0.0
298.15 NA K 0.22 0.78 -15812.55 2149.545 60.245174 -17962.098628099997 0.0 0.0 -16172.725 -1306.188067542519 -0.0
298.15 NA K 0.23 0.77 -15835.35 2213.843 60.537295 -18049.194504249997 0.0 0.0 -16212.6175 -1336.8488881016199 -0.0
298.15 NA K 0.24 0.76 -15859.03 2275.36 60.823043 -18134.39027045 0.0 0.0 -16252.510000000002 -1366.1096036088943 -0.0
298.15 NA K 0.25 0.75 -15883.61 2334.112 61.102543 -18217.72319545 0.0 0.0 -16292.4025 -1394.0109271940482 -0.0
298.15 NA K 0.26 0.74 -15909.11 2390.114 61.375907 -18299.226672049997 0.0 0.0 -16332.294999999998 -1420.5898600324033 -0.0
298.15 NA K 0.27 0.73 -15935.55 2443.383 61.643236 -18378.9308134 0.0 0.0 -16372.1875 -1445.8801024662048 -0.0
298.15 NA K 0.28 0.72 -15962.93 2493.934 61.90462 -18456.862452999998 0.0 0.0 -16412.08 -1469.9124032129614 -0.0
298.15 NA K 0.29 0.71 -15991.26 2541.782 62.160143 -18533.04663545 0.0 0.0 -16451.9725 -1492.7148576699553 -0.0
298.15 NA K 0.3 0.7 -16020.56 2586.943 62.409879 -18607.505423849998 0.0 0.0 -16491.864999999998 -1514.313164037668 -0.0
298.15 NA K 0.31 0.69 -16050.83 2629.433 62.653894 -18680.2584961 0.0 0.0 -16531.7575 -1534.730844232385 -0.0
298.15 NA K 0.32 0.68 -16082.06 2669.267 62.892248 -18751.323741199998 0.0 0.0 -16571.649999999998 -1553.9894352015579 -0.0
298.15 NA K 0.33 0.67 -16114.26 2706.46 63.124996 -18820.7175574 0.0 0.0 -16611.5425 -1572.1086551954763 -0.0
298.15 NA K 0.34 0.66 -16147.43 2741.029 63.352187 -18888.45455405 0.0 0.0 -16651.434999999998 -1589.1065487133012 -0.0
298.15 NA K 0.35 0.65 -16181.56 2772.989 63.573863 -18954.54725345 0.0 0.0 -16691.3275 -1604.9996131775667 -0.0
298.15 NA K 0.36 0.64 -16216.65 2802.355 63.790063 -19019.00728345 0.0 0.0 -16731.22 -1619.8029098595373 -0.0
298.15 NA K 0.37 0.63 -16252.7 2829.143 64.000821 -19081.84478115 0.0 0.0 -16771.1125 -1633.5301611487748 -0.0
298.15 NA K 0.38 0.62 -16289.7 2853.368 64.206167 -19143.068691049997 0.0 0.0 -16811.005 -1646.193835911596 -0.0
298.15 NA K 0.39 0.61 -16327.64 2875.047 64.406127 -19202.68676505 0.0 0.0 -16850.8975 -1657.8052243977716 -0.0
298.15 NA K 0.4 0.6 -16366.51 2894.195 64.600723 -19260.70556245 0.0 0.0 -16890.79 -1668.3745039196444 -0.0
298.15 NA K 0.41 0.59 -16406.3 2910.826 64.789974 -19317.1307481 0.0 0.0 -16930.682500000003 -1677.9107963326926 -0.0
298.15 NA K 0.42 0.58 -16447.01 2924.958 64.973894 -19371.966496099998 0.0 0.0 -16970.575 -1686.4222181834425 -0.0
298.15 NA K 0.43 0.57 -16488.61 2936.605 65.152496 -19425.216682399998 0.0 0.0 -17010.4675 -1693.9159242532326 -0.0
298.15 NA K 0.44 0.56 -16531.1 2945.784 65.325788 -19476.8836922 0.0 0.0 -17050.36 -1700.3981451097393 -0.0
298.15 NA K 0.45 0.55 -16574.46 2952.509 65.493778 -19526.9699107 0.0 0.0 -17090.252500000002 -1705.8742191782392 -0.0
298.15 NA K 0.46 0.54 -16618.68 2956.796 65.656466 -19575.475337899996 0.0 0.0 -17130.145000000004 -1710.3486197582595 -0.0
