T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NB NI 0.0 1.0 -1521.871 7989.419 31.901023 -9511.29000745 575.0 0.85 -1521.871 0.0 -1042.4491903721046
298.15 NB NI 1.0 0.0 -10813.9 0.0003004147 36.270001 -10813.90079815 5.75e-10 8.5e-13 -10813.9 0.0 -2.3998092509008474e-69
298.15 NB NI 0.01 0.99 -1901.665 7747.122 32.362188 -9648.7863522 569.25 0.8415 -1614.79129 -138.82602141683572 -1010.6616647419114
298.15 NB NI 0.02 0.98 -2243.783 7508.336 32.708767 -9752.118881049999 563.5 0.833 -1707.7115800000001 -243.03584172567548 -979.2479402806309
298.15 NB NI 0.03 0.97 -2569.621 7273.064 33.012526 -9842.6846269 557.75 0.8245 -1800.63187 -334.02154674813943 -948.2115681597018
298.15 NB NI 0.04 0.96 -2883.727 7041.306 33.288725 -9925.033358749999 552.0 0.816 -1893.5521600000002 -416.3281974105132 -917.556195514785
298.15 NB NI 0.05 0.95 -3188.262 6813.065 33.544618 -10001.3278567 546.25 0.8075 -1986.4724500000002 -492.11297050679866 -887.285570553273
298.15 NB NI 0.06 0.94 -3484.5 6588.343 33.784483 -10072.84360645 540.5 0.799 -2079.39274 -562.6452650375949 -857.4035480589283
298.15 NB NI 0.07 0.93 -3773.283 6367.142 34.01115 -10140.4243725 534.75 0.7905 -2172.3130300000003 -628.7628773593874 -827.9140953333723
298.15 NB NI 0.08 0.92 -4055.207 6149.464 34.226636 -10204.671523399998 529.0 0.782 -2265.2333200000003 -691.0604007790716 -798.8212986190266
298.15 NB NI 0.09 0.91 -4330.723 5935.312 34.43245 -10266.0349675 523.25 0.7735 -2358.1536100000003 -749.9816351924776 -770.1293700537575
298.15 NB NI 0.1 0.9 -4600.177 5724.69 34.629771 -10324.866223649999 517.5 0.765 -2451.0739000000003 -805.870345271772 -741.8426552139449
298.15 NB NI 0.11 0.89 -4863.848 5517.6 34.819544 -10381.4470436 511.75 0.7565 -2543.9941900000003 -859.000492370776 -713.965641310195
298.15 NB NI 0.12 0.88 -5121.963 5314.046 35.002545 -10436.008791749999 506.0 0.748 -2636.91448 -909.5953759771999 -686.5029661086496
298.15 NB NI 0.13 0.87 -5374.713 5114.032 35.179424 -10488.745265599999 500.25 0.7395 -2729.8347700000004 -957.840348132521 -659.4594276609371
298.15 NB NI 0.14 0.86 -5622.259 4917.563 35.350737 -10539.82223655 494.5 0.731 -2822.7550600000004 -1003.8915915105914 -632.8399949376828
298.15 NB NI 0.15 0.85 -5864.739 4724.643 35.516964 -10589.3828166 488.75 0.7225 -2915.6753499999995 -1047.882375954332 -606.6498194743813
298.15 NB NI 0.16 0.84 -6102.273 4535.279 35.678525 -10637.552228749999 483.0 0.714 -3008.59564 -1089.9276385420173 -580.8942481547824
298.15 NB NI 0.17 0.83 -6334.967 4349.476 35.835795 -10684.442279249999 477.25 0.7055 -3101.51593 -1130.1274135160918 -555.5788372763093
298.15 NB NI 0.18 0.82 -6562.912 4167.24 35.989107 -10730.152252049998 471.5 0.697 -3194.43622 -1168.5694517045056 -530.7093680649807
298.15 NB NI 0.19 0.81 -6786.194 3988.579 36.138767 -10774.77338105 465.75 0.6885 -3287.3565100000005 -1205.3312553507326 -506.29186383473336
298.15 NB NI 0.2 0.8 -7004.887 3813.501 36.285051 -10818.38795565 460.0 0.68 -3380.2768000000005 -1240.4816826440385 -482.3326090188716
298.15 NB NI 0.21 0.79 -7219.058 3642.015 36.428216 -10861.072600399999 454.25 0.6715 -3473.1970899999997 -1274.08222978906 -458.83817034092084
298.15 NB NI 0.22 0.78 -7428.769 3474.13 36.568503 -10902.899169449998 448.5 0.663 -3566.11738 -1306.188067542519 -435.8154204399893
298.15 NB NI 0.23 0.77 -7634.077 3309.858 36.706137 -10943.93474655 442.75 0.6545 -3659.03767 -1336.8488881016199 -413.2715643239431
298.15 NB NI 0.24 0.76 -7835.033 3149.211 36.841334 -10984.2437321 437.0 0.646 -3751.9579599999997 -1366.1096036088943 -391.2141690948093
298.15 NB NI 0.25 0.75 -8031.687 2992.201 36.9743 -11023.887545 431.25 0.6375 -3844.8782499999998 -1394.0109271940482 -369.65119747824576
298.15 NB NI 0.26 0.74 -8224.082 2838.844 37.105236 -11062.926113399999 425.5 0.629 -3937.79854 -1420.5898600324033 -348.5910457969586
298.15 NB NI 0.27 0.73 -8412.261 2689.157 37.234339 -11101.418172849999 419.75 0.6205 -4030.7188300000003 -1445.8801024662048 -328.042587162263
298.15 NB NI 0.28 0.72 -8596.263 2543.159 37.361804 -11139.421862599998 414.0 0.612 -4123.63912 -1469.9124032129614 -308.01522082590935
298.15 NB NI 0.29 0.71 -8776.126 2400.87 37.487829 -11176.996216349999 408.25 0.6035 -4216.55941 -1492.7148576699553 -288.51892884556577
298.15 NB NI 0.3 0.7 -8951.885 2262.315 37.612611 -11214.199969649999 402.5 0.595 -4309.4797 -1514.313164037668 -269.5643414847414
298.15 NB NI 0.31 0.69 -9123.575 2127.52 37.736355 -11251.09424325 396.75 0.5865 -4402.39999 -1534.730844232385 -251.16281310860606
298.15 NB NI 0.32 0.68 -9291.227 1996.516 37.859275 -11287.742841249998 391.0 0.578 -4495.32028 -1553.9894352015579 -233.32651077389514
298.15 NB NI 0.33 0.67 -9454.874 1869.338 37.981594 -11324.2122511 385.25 0.5695 -4588.24057 -1572.1086551954763 -216.0685182748325
298.15 NB NI 0.34 0.66 -9614.548 1746.026 38.103552 -11360.5740288 379.5 0.561 -4681.16086 -1589.1065487133012 -199.40295913956305
298.15 NB NI 0.35 0.65 -9770.277 1626.628 38.225406 -11396.9047989 373.75 0.5525 -4774.08115 -1604.9996131775667 -183.3451430301527
298.15 NB NI 0.36 0.64 -9922.093 1511.196 38.34744 -11433.289235999999 368.0 0.544 -4867.00144 -1619.8029098595373 -167.9117412623908
298.15 NB NI 0.37 0.63 -10070.03 1399.794 38.469964 -11469.819766599998 362.25 0.5355 -4959.92173 -1633.5301611487748 -153.12099883823012
298.15 NB NI 0.38 0.62 -10214.11 1292.496 38.593332 -11506.601935799998 356.5 0.527 -5052.84202 -1646.193835911596 -138.99299262534015
298.15 NB NI 0.39 0.61 -10354.37 1189.388 38.717941 -11543.75410915 350.75 0.5185 -5145.76231 -1657.8052243977716 -125.54994833778512
298.15 NB NI 0.4 0.6 -10490.84 1090.577 38.844252 -11581.413733799998 345.0 0.51 -5238.6826 -1668.3745039196444 -112.8166330700982
298.15 NB NI 0.41 0.59 -10623.55 996.187 38.9728 -11619.740319999999 339.25 0.5015 -5331.60289 -1677.9107963326926 -100.82084574231182
298.15 NB NI 0.42 0.58 -10752.55 906.3705 39.104217 -11658.922298549998 333.5 0.493 -5424.52318 -1686.4222181834425 -89.59403554029448
