T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 ND MG 0.0 1.0 -19919.93 1437.295 71.632481 -21357.224210149998 0.0 0.0 -19919.93 0.0 -0.0
298.15 ND MG 1.0 0.0 -7266.973 3100.0 34.771001 -10366.973948149998 0.0 0.0 -7266.973 0.0 -0.0
298.15 ND MG 0.01 0.99 -20107.89 1297.816 71.795086 -21405.704890899997 0.0 0.0 -19793.40043 -138.82602141683572 -0.0
298.15 ND MG 0.02 0.98 -20253.94 1164.269 71.837011 -21418.20482965 0.0 0.0 -19666.87086 -243.03584172567548 -0.0
298.15 ND MG 0.03 0.97 -20379.97 1036.175 71.830105 -21416.14580575 0.0 0.0 -19540.34129 -334.02154674813943 -0.0
298.15 ND MG 0.04 0.96 -20491.03 913.0726 71.78971 -21404.102036499997 0.0 0.0 -19413.811719999998 -416.3281974105132 -0.0
298.15 ND MG 0.05 0.95 -20589.75 794.5148 71.723162 -21384.2607503 0.0 0.0 -19287.28215 -492.11297050679866 -0.0
298.15 ND MG 0.06 0.94 -20677.85 680.0722 71.634818 -21357.920986699995 0.0 0.0 -19160.75258 -562.6452650375949 -0.0
298.15 ND MG 0.07 0.93 -20756.62 569.3313 71.527588 -21325.950362199997 0.0 0.0 -19034.223009999998 -628.7628773593874 -0.0
298.15 ND MG 0.08 0.92 -20827.08 461.8947 71.403565 -21288.972904749997 0.0 0.0 -18907.693440000003 -691.0604007790716 -0.0
298.15 ND MG 0.09 0.91 -20890.08 357.3814 71.264338 -21247.462374699997 0.0 0.0 -18781.16387 -749.9816351924776 -0.0
298.15 ND MG 0.1 0.9 -20946.37 255.4265 71.111158 -21201.7917577 0.0 0.0 -18654.6343 -805.870345271772 -0.0
298.15 ND MG 0.11 0.89 -20996.58 155.6812 70.945045 -21152.265166749996 0.0 0.0 -18528.104730000003 -859.000492370776 -0.0
298.15 ND MG 0.12 0.88 -21041.32 57.81326 70.766847 -21099.135433049996 0.0 0.0 -18401.57516 -909.5953759771999 -0.0
