T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 ND ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 0.0 0.0 -6719.723 0.0 -0.0
298.15 ND ZR 1.0 0.0 -19919.97 1437.29 71.63259 -21357.256708499997 0.0 0.0 -19919.97 0.0 -0.0
298.15 ND ZR 0.01 0.99 -6674.824 7546.06 47.697079 -14220.88410385 0.0 0.0 -6851.72547 -138.82602141683572 -0.0
298.15 ND ZR 0.02 0.98 -6601.687 7775.063 48.219854 -14376.749470099998 0.0 0.0 -6983.72794 -243.03584172567548 -0.0
298.15 ND ZR 0.03 0.97 -6521.704 7998.132 48.69977 -14519.8364255 0.0 0.0 -7115.73041 -334.02154674813943 -0.0
298.15 ND ZR 0.04 0.96 -6439.421 8215.269 49.152071 -14654.689968649998 0.0 0.0 -7247.73288 -416.3281974105132 -0.0
298.15 ND ZR 0.05 0.95 -6356.994 8426.473 49.583991 -14783.466916649999 0.0 0.0 -7379.735349999999 -492.11297050679866 -0.0
298.15 ND ZR 0.06 0.94 -6275.693 8631.744 49.999789 -14907.437090349998 0.0 0.0 -7511.737819999999 -562.6452650375949 -0.0
298.15 ND ZR 0.07 0.93 -6196.355 8831.083 50.402274 -15027.437993099998 0.0 0.0 -7643.74029 -628.7628773593874 -0.0
298.15 ND ZR 0.08 0.92 -6119.576 9024.488 50.793441 -15144.06443415 0.0 0.0 -7775.74276 -691.0604007790716 -0.0
298.15 ND ZR 0.09 0.91 -6045.799 9211.961 51.174778 -15257.7600607 0.0 0.0 -7907.74523 -749.9816351924776 -0.0
298.15 ND ZR 0.1 0.9 -5975.367 9393.501 51.547439 -15368.868937849998 0.0 0.0 -8039.747700000001 -805.870345271772 -0.0
298.15 ND ZR 0.11 0.89 -5908.556 9569.109 51.912341 -15477.664469149999 0.0 0.0 -8171.750169999999 -859.000492370776 -0.0
298.15 ND ZR 0.12 0.88 -5845.587 9738.783 52.270234 -15584.3702671 0.0 0.0 -8303.75264 -909.5953759771999 -0.0
298.15 ND ZR 0.13 0.87 -5786.647 9902.525 52.62174 -15689.171781 0.0 0.0 -8435.75511 -957.840348132521 -0.0
298.15 ND ZR 0.14 0.86 -5731.892 10060.33 52.967383 -15792.225241449998 0.0 0.0 -8567.75758 -1003.8915915105914 -0.0
298.15 ND ZR 0.15 0.85 -5681.454 10212.21 53.307609 -15893.66362335 0.0 0.0 -8699.76005 -1047.882375954332 -0.0
298.15 ND ZR 0.16 0.84 -5635.449 10358.15 53.642804 -15993.602012599998 0.0 0.0 -8831.76252 -1089.9276385420173 -0.0
298.15 ND ZR 0.17 0.83 -5593.977 10498.16 53.973304 -16092.140587599999 0.0 0.0 -8963.76499 -1130.1274135160918 -0.0
298.15 ND ZR 0.18 0.82 -5557.126 10632.24 54.299402 -16189.3667063 0.0 0.0 -9095.767460000001 -1168.5694517045056 -0.0
298.15 ND ZR 0.19 0.81 -5524.973 10760.39 54.621359 -16285.358185849998 0.0 0.0 -9227.76993 -1205.3312553507326 -0.0
298.15 ND ZR 0.2 0.8 -5497.586 10882.6 54.939406 -16380.183898899999 0.0 0.0 -9359.772400000002 -1240.4816826440385 -0.0
298.15 ND ZR 0.21 0.79 -5475.028 10998.88 55.253749 -16473.90526435 0.0 0.0 -9491.774870000001 -1274.08222978906 -0.0
298.15 ND ZR 0.22 0.78 -5457.354 11109.22 55.564573 -16566.57743995 0.0 0.0 -9623.77734 -1306.188067542519 -0.0
298.15 ND ZR 0.23 0.77 -5444.613 11213.64 55.872045 -16658.25021675 0.0 0.0 -9755.77981 -1336.8488881016199 -0.0
298.15 ND ZR 0.24 0.76 -5436.85 11312.12 56.176315 -16748.96831725 0.0 0.0 -9887.78228 -1366.1096036088943 -0.0
298.15 ND ZR 0.25 0.75 -5434.107 11404.67 56.47752 -16838.772588 0.0 0.0 -10019.78475 -1394.0109271940482 -0.0
298.15 ND ZR 0.26 0.74 -5436.419 11491.28 56.775784 -16927.699999599998 0.0 0.0 -10151.78722 -1420.5898600324033 -0.0
298.15 ND ZR 0.27 0.73 -5443.821 11571.96 57.071221 -17015.78454115 0.0 0.0 -10283.789690000001 -1445.8801024662048 -0.0
298.15 ND ZR 0.28 0.72 -5456.343 11646.71 57.363932 -17103.056325799997 0.0 0.0 -10415.79216 -1469.9124032129614 -0.0
298.15 ND ZR 0.29 0.71 -5474.014 11715.53 57.654012 -17189.5436778 0.0 0.0 -10547.79463 -1492.7148576699553 -0.0
298.15 ND ZR 0.3 0.7 -5496.858 11778.41 57.941549 -17275.27283435 0.0 0.0 -10679.7971 -1514.313164037668 -0.0
298.15 ND ZR 0.31 0.69 -5524.901 11835.37 58.226619 -17360.26645485 0.0 0.0 -10811.79957 -1534.730844232385 -0.0
298.15 ND ZR 0.32 0.68 -5558.163 11886.38 58.509297 -17444.546900549998 0.0 0.0 -10943.802039999999 -1553.9894352015579 -0.0
298.15 ND ZR 0.33 0.67 -5596.664 11931.47 58.789647 -17528.13325305 0.0 0.0 -11075.80451 -1572.1086551954763 -0.0
298.15 ND ZR 0.34 0.66 -5640.421 11970.62 59.067731 -17611.04399765 0.0 0.0 -11207.806980000001 -1589.1065487133012 -0.0
298.15 ND ZR 0.35 0.65 -5689.453 12003.84 59.343603 -17693.29523445 0.0 0.0 -11339.80945 -1604.9996131775667 -0.0
298.15 ND ZR 0.36 0.64 -5743.773 12031.13 59.617315 -17774.902467249998 0.0 0.0 -11471.81192 -1619.8029098595373 -0.0
298.15 ND ZR 0.37 0.63 -5803.395 12052.48 59.888912 -17855.879112799998 0.0 0.0 -11603.81439 -1633.5301611487748 -0.0
298.15 ND ZR 0.38 0.62 -5868.332 12067.91 60.158436 -17936.2376934 0.0 0.0 -11735.81686 -1646.193835911596 -0.0
298.15 ND ZR 0.39 0.61 -5938.595 12077.39 60.425925 -18015.98953875 0.0 0.0 -11867.819330000002 -1657.8052243977716 -0.0
298.15 ND ZR 0.4 0.6 -6014.194 12080.95 60.691413 -18095.144785949997 0.0 0.0 -11999.821800000002 -1668.3745039196444 -0.0
298.15 ND ZR 0.41 0.59 -6095.139 12078.57 60.954931 -18173.71267765 0.0 0.0 -12131.824270000001 -1677.9107963326926 -0.0
298.15 ND ZR 0.42 0.58 -6181.437 12070.26 61.216505 -18251.70096575 0.0 0.0 -12263.82674 -1686.4222181834425 -0.0
298.15 ND ZR 0.43 0.57 -6273.095 12056.02 61.476161 -18329.117402149997 0.0 0.0 -12395.829210000002 -1693.9159242532326 -0.0
298.15 ND ZR 0.44 0.56 -6370.121 12035.85 61.733918 -18405.9676517 0.0 0.0 -12527.83168 -1700.3981451097393 -0.0
298.15 ND ZR 0.45 0.55 -6472.518 12009.74 61.989795 -18482.25737925 0.0 0.0 -12659.83415 -1705.8742191782392 -0.0
298.15 ND ZR 0.46 0.54 -6580.293 11977.7 62.243807 -18557.991057049996 0.0 0.0 -12791.83662 -1710.3486197582595 -0.0
298.15 ND ZR 0.47 0.53 -6693.447 11939.72 62.495965 -18633.17196475 0.0 0.0 -12923.83909 -1713.8249773357109 -0.0
298.15 ND ZR 0.48 0.52 -6811.985 11895.82 62.74628 -18707.803382 0.0 0.0 -13055.84156 -1716.3060974737868 -0.0
298.15 ND ZR 0.49 0.51 -6935.908 11845.98 62.994758 -18781.887097699997 0.0 0.0 -13187.84403 -1717.7939745058845 -0.0
298.15 ND ZR 0.5 0.5 -7065.217 11790.21 63.241403 -18855.424304449996 0.0 0.0 -13319.8465 -1718.289801199083 -0.0
298.15 ND ZR 0.51 0.49 -7199.913 11728.5 63.486216 -18928.4153004 0.0 0.0 -13451.848970000001 -1717.7939745058845 -0.0
298.15 ND ZR 0.52 0.48 -7339.995 11660.86 63.729196 -19000.8597874 0.0 0.0 -13583.85144 -1716.3060974737868 -0.0
298.15 ND ZR 0.53 0.47 -7485.462 11587.29 63.970339 -19072.756572849998 0.0 0.0 -13715.853910000002 -1713.8249773357109 -0.0
298.15 ND ZR 0.54 0.46 -7636.312 11507.79 64.209638 -19144.103569699997 0.0 0.0 -13847.856380000001 -1710.3486197582595 -0.0
298.15 ND ZR 0.55 0.45 -7792.543 11422.36 64.447085 -19214.898392749998 0.0 0.0 -13979.858850000002 -1705.8742191782392 -0.0
298.15 ND ZR 0.56 0.44 -7954.15 11330.99 64.682666 -19285.136867899997 0.0 0.0 -14111.86132 -1700.3981451097393 -0.0
298.15 ND ZR 0.57 0.43 -8121.129 11233.69 64.916366 -19354.814522899997 0.0 0.0 -14243.863790000001 -1693.9159242532328 -0.0
298.15 ND ZR 0.58 0.42 -8293.476 11130.45 65.148169 -19423.926587349997 0.0 0.0 -14375.866259999999 -1686.4222181834425 -0.0
298.15 ND ZR 0.59 0.41 -8471.182 11021.28 65.378052 -19492.4662038 0.0 0.0 -14507.868730000002 -1677.910796332693 -0.0
298.15 ND ZR 0.6 0.4 -8654.243 10906.18 65.605992 -19560.426514799998 0.0 0.0 -14639.8712 -1668.3745039196444 -0.0
298.15 ND ZR 0.61 0.39 -8842.648 10785.15 65.831962 -19627.7994703 0.0 0.0 -14771.87367 -1657.8052243977716 -0.0
298.15 ND ZR 0.62 0.38 -9036.39 10658.19 66.055931 -19694.57582765 0.0 0.0 -14903.87614 -1646.193835911596 -0.0
298.15 ND ZR 0.63 0.37 -9235.458 10525.29 66.277865 -19760.74544975 0.0 0.0 -15035.878610000002 -1633.5301611487748 -0.0
298.15 ND ZR 0.64 0.36 -9439.841 10386.46 66.497726 -19826.2970069 0.0 0.0 -15167.881080000001 -1619.8029098595373 -0.0
298.15 ND ZR 0.65 0.35 -9649.526 10241.69 66.715472 -19891.2179768 0.0 0.0 -15299.883550000002 -1604.9996131775667 -0.0
298.15 ND ZR 0.66 0.34 -9864.5 10091.0 66.931058 -19955.494942699996 0.0 0.0 -15431.88602 -1589.106548713301 -0.0
