T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NI SB 0.0 1.0 1799.574 19874.0 60.621918 -18074.424851699998 5.75e-28 8.5e-31 1799.574 0.0 -0.0
298.15 NI SB 1.0 0.0 -1521.871 7989.419 31.901023 -9511.29000745 575.0 0.85 -1521.871 0.0 -1042.4491903721046
298.15 NI SB 0.01 0.99 16215.84 35454.31 64.526152 -19238.472218799998 5.75 0.0085 1766.35955 -138.82602141683572 -2.3897047489119965e-09
298.15 NI SB 0.02 0.98 29478.09 49750.23 67.993097 -20272.14187055 11.5 0.017 1733.1451 -243.03584172567548 -1.5229927983225914e-07
298.15 NI SB 0.03 0.97 41611.16 62811.9 71.107637 -21200.741971549996 17.25 0.0255 1699.93065 -334.02154674813943 -1.727554339575452e-06
298.15 NI SB 0.04 0.96 52655.96 74688.62 73.89792 -22032.664847999997 23.0 0.034 1666.7162 -416.3281974105132 -9.66635953082306e-06
298.15 NI SB 0.05 0.95 62654.99 85428.84 76.383855 -22773.846368249997 28.75 0.0425 1633.50175 -492.11297050679866 -3.6722660763931226e-05
298.15 NI SB 0.06 0.94 71650.89 95080.15 78.582145 -23429.266531749996 34.5 0.051 1600.2873 -562.6452650375949 -0.000109205589104795
298.15 NI SB 0.07 0.93 79685.92 103689.3 80.507812 -24003.4041478 40.25 0.0595 1567.07285 -628.7628773593874 -0.00027425894881363306
298.15 NI SB 0.08 0.92 86801.83 111302.3 82.174834 -24500.4267571 46.0 0.068 1533.8584 -691.0604007790716 -0.0006086385756193444
298.15 NI SB 0.09 0.91 93039.73 117964.0 83.59645 -24924.2815675 51.75 0.0765 1500.6439500000001 -749.9816351924776 -0.0012289471557787245
298.15 NI SB 0.1 0.9 98440.07 123718.8 84.785336 -25278.7479284 57.5 0.085 1467.4295 -805.870345271772 -0.002303287768377704
298.15 NI SB 0.11 0.89 103042.6 128610.0 85.753698 -25567.4650587 63.25 0.0935 1434.21505 -859.000492370776 -0.004064298999415338
298.15 NI SB 0.12 0.88 106886.3 132680.2 86.513346 -25793.954109899998 69.0 0.102 1401.0006 -909.5953759771999 -0.006823535984027621
298.15 NI SB 0.13 0.87 110009.4 135971.0 87.075725 -25961.62740875 74.75 0.1105 1367.7861500000001 -957.840348132521 -0.010987163172327204
298.15 NI SB 0.14 0.86 112449.4 138523.2 87.451955 -26073.800383249996 80.5 0.119 1334.5717 -1003.8915915105914 -0.01707292599826273
298.15 NI SB 0.15 0.85 114243.2 140376.9 87.652844 -26133.6954386 86.25 0.1275 1301.35725 -1047.882375954332 -0.02572836998004602
298.15 NI SB 0.16 0.84 115426.7 141571.1 87.688904 -26144.446727599996 92.0 0.136 1268.1428 -1089.9276385420173 -0.037750277126771016
298.15 NI SB 0.17 0.83 116035.1 142144.2 87.570368 -26109.1052192 97.75 0.1445 1234.9283500000001 -1130.1274135160918 -0.054105290918159694
298.15 NI SB 0.18 0.82 116103.0 142133.6 87.307189 -26030.638400349995 103.5 0.153 1201.7139000000002 -1168.5694517045056 -0.07595170263855973
298.15 NI SB 0.19 0.81 115663.9 141575.9 86.909055 -25911.934748249998 109.25 0.1615 1168.49945 -1205.3312553507326 -0.10466237359618344
298.15 NI SB 0.2 0.8 114751.0 140506.8 86.385389 -25755.80373035 115.0 0.17 1135.285 -1240.4816826440385 -0.14184876991177503
298.15 NI SB 0.21 0.79 113396.3 138961.3 85.745354 -25564.9772951 120.75 0.1785 1102.0705500000001 -1274.08222978906 -0.18938608935933912
298.15 NI SB 0.22 0.78 111631.2 136973.3 84.997855 -25342.110468249997 126.5 0.187 1068.8561000000002 -1306.188067542519 -0.2494394635276802
298.15 NI SB 0.23 0.77 109486.4 134576.2 84.151543 -25089.782545449998 132.25 0.1955 1035.64165 -1336.8488881016199 -0.3244912238215232
298.15 NI SB 0.24 0.76 106991.7 131802.2 83.214817 -24810.497688549996 138.0 0.204 1002.4272 -1366.1096036088943 -0.41736922718689756
298.15 NI SB 0.25 0.75 104176.1 128682.8 82.195822 -24506.6843293 143.75 0.2125 969.2127499999999 -1394.0109271940482 -0.5312762478080173
298.15 NI SB 0.26 0.74 101068.0 125248.7 81.102455 -24180.69695825 149.5 0.221 935.9983000000001 -1420.5898600324033 -0.6698204555580876
298.15 NI SB 0.27 0.73 97694.99 121529.8 79.942362 -23834.8152303 155.25 0.2295 902.78385 -1445.8801024662048 -0.837047022250853
298.15 NI SB 0.28 0.72 94083.68 117554.9 78.722938 -23471.2439647 161.0 0.238 869.5693999999999 -1469.9124032129614 -1.0374709247801785
298.15 NI SB 0.29 0.71 90260.11 113352.2 77.45133 -23092.114039499997 166.75 0.2465 836.3549499999999 -1492.7148576699553 -1.2761110527342479
298.15 NI SB 0.3 0.7 86249.47 108949.0 76.134437 -22699.48239155 172.5 0.255 803.1405 -1514.313164037668 -1.5585257805451453
298.15 NI SB 0.31 0.69 82076.18 104371.5 74.778908 -22295.3314202 178.25 0.2635 769.92605 -1534.730844232385 -1.8908502353072068
298.15 NI SB 0.32 0.68 77763.9 99645.47 73.39114 -21881.568390999997 184.0 0.272 736.7115999999999 -1553.9894352015579 -2.279835587192648
298.15 NI SB 0.33 0.67 73335.5 94795.53 71.977284 -21460.0272246 189.75 0.2805 703.4971499999998 -1572.1086551954763 -2.7328908181061355
298.15 NI SB 0.34 0.66 68813.06 89845.53 70.543236 -21032.465813399995 195.5 0.289 670.2827 -1589.1065487133012 -3.2581275969655077
298.15 NI SB 0.35 0.65 64217.91 84818.48 69.094642 -20600.567512299996 201.25 0.2975 637.0682500000001 -1604.9996131775667 -3.8644091220710695
298.15 NI SB 0.36 0.64 59570.58 79736.52 67.636895 -20165.940244249996 207.0 0.306 603.8538000000001 -1619.8029098595373 -4.561404103810612
298.15 NI SB 0.37 0.63 54890.85 74620.96 66.17513 -19730.115009499998 212.75 0.3145 570.63935 -1633.5301611487748 -5.359647484753768
298.15 NI SB 0.38 0.62 50197.68 69492.23 64.714226 -19294.546481899997 218.5 0.323 537.4248999999999 -1646.193835911596 -6.2706100725310305
298.15 NI SB 0.39 0.61 45509.29 64369.9 63.258798 -18860.6106237 224.25 0.3315 504.21045000000004 -1657.8052243977716 -7.30678005684019
298.15 NI SB 0.4 0.6 40843.12 59272.72 61.813195 -18429.60408925 230.0 0.34 470.996 -1668.3745039196444 -8.481760487512831
298.15 NI SB 0.41 0.59 36215.8 54218.54 60.381494 -18002.7424361 235.75 0.3485 437.78155000000015 -1677.9107963326926 -9.810388340623705
298.15 NI SB 0.42 0.58 31643.22 49224.37 58.967487 -17581.156249049996 241.5 0.357 404.5671000000001 -1686.4222181834425 -11.308882991872231
298.15 NI SB 0.43 0.57 27140.46 44306.34 57.574672 -17165.8884568 247.25 0.3655 371.35265000000004 -1693.9159242532326 -12.995035040657228
298.15 NI SB 0.44 0.56 22721.84 39479.72 56.206233 -16757.888368949996 253.0 0.374 338.1382000000001 -1700.3981451097393 -14.888450907871182
298.15 NI SB 0.45 0.55 18400.89 34758.9 54.86502 -16358.005712999999 258.75 0.3825 304.92375000000004 -1705.8742191782392 -17.010875081929406
298.15 NI SB 0.46 0.54 14190.37 30157.35 53.553506 -15966.9778139 264.5 0.391 271.7093 -1710.3486197582595 -19.386621203993666
298.15 NI SB 0.47 0.53 10102.26 25687.67 52.273744 -15585.416773599998 270.25 0.3995 238.49485000000016 -1713.8249773357109 -22.04315665138047
298.15 NI SB 0.48 0.52 6147.733 21361.52 51.027292 -15213.7871098 276.0 0.408 205.2804 -1716.3060974737868 -25.011904740350783
298.15 NI SB 0.49 0.51 2337.206 17189.58 49.815105 -14852.37355575 281.75 0.4165 172.06595000000004 -1717.7939745058845 -28.329356748234705
298.15 NI SB 0.5 0.5 -1319.705 13181.53 48.637391 -14501.23812665 287.5 0.425 138.8515 -1718.289801199083 -32.03862635862573
298.15 NI SB 0.51 0.49 -4814.169 9345.984 47.493386 -14160.153035899999 293.25 0.4335 105.63704999999993 -1717.7939745058845 -36.19163707309453
298.15 NI SB 0.52 0.48 -8138.155 5688.293 46.374135 -13826.448350249999 299.0 0.442 72.42259999999999 -1716.3060974737868 -40.85910359842975
298.15 NI SB 0.53 0.47 -11284.55 2211.706 45.26666 -13496.254679 304.75 0.4505 39.20814999999982 -1713.8249773357109 -46.47200952383306
298.15 NI SB 0.54 0.46 -14246.81 -1060.826 44.226017 -13185.986968549998 310.5 0.459 5.993699999999876 -1710.3486197582595 -53.18433330116835
298.15 NI SB 0.55 0.45 -17019.07 -4123.738 43.251165 -12895.33484475 316.25 0.4675 -27.22075000000018 -1705.8742191782392 -60.91489573932028
298.15 NI SB 0.56 0.44 -19596.25 -6972.187 42.341306 -12624.0603839 322.0 0.476 -60.43520000000012 -1700.3981451097393 -69.59634279830654
298.15 NI SB 0.57 0.43 -21974.03 -9602.073 41.495763 -12371.961738449998 327.75 0.4845 -93.64964999999984 -1693.9159242532328 -79.17208917190847
298.15 NI SB 0.58 0.42 -24148.92 -12010.07 40.713902 -12138.849881299999 333.5 0.493 -126.8640999999999 -1686.4222181834425 -89.59403554029448
298.15 NI SB 0.59 0.41 -26118.18 -14193.65 39.995062 -11924.527735299998 339.25 0.5015 -160.07854999999995 -1677.910796332693 -100.82084574231182
298.15 NI SB 0.6 0.4 -27879.86 -16151.08 39.338513 -11728.777650949998 345.0 0.51 -193.293 -1668.3745039196444 -112.8166330700982
298.15 NI SB 0.61 0.39 -29432.78 -17881.43 38.743417 -11551.349778549999 350.75 0.5185 -226.50744999999995 -1657.8052243977716 -125.54994833778512
298.15 NI SB 0.62 0.38 -30776.56 -19384.61 38.208803 -11391.95461445 356.5 0.527 -259.7219 -1646.193835911596 -138.99299262534015
298.15 NI SB 0.63 0.37 -31911.59 -20661.33 37.733547 -11250.25703805 362.25 0.5355 -292.93635000000006 -1633.5301611487748 -153.12099883823012
298.15 NI SB 0.64 0.36 -32839.03 -21713.16 37.316353 -11125.87064695 368.0 0.544 -326.1508000000001 -1619.8029098595373 -167.9117412623908
298.15 NI SB 0.65 0.35 -33560.83 -22542.48 36.955747 -11018.35596805 373.75 0.5525 -359.36525000000006 -1604.9996131775667 -183.3451430301527
298.15 NI SB 0.66 0.34 -34079.72 -23152.5 36.650059 -10927.215090849999 379.5 0.561 -392.5797000000001 -1589.106548713301 -199.40295913956305
298.15 NI SB 0.67 0.33 -34399.19 -23547.29 36.397422 -10851.8913693 385.25 0.5695 -425.7941500000002 -1572.1086551954763 -216.0685182748325
298.15 NI SB 0.68 0.32 -34523.51 -23731.75 36.195763 -10791.766738449998 391.0 0.578 -459.0086000000001 -1553.9894352015576 -233.32651077389514
298.15 NI SB 0.69 0.31 -34457.76 -23711.6 36.042797 -10746.159925549999 396.75 0.5865 -492.22304999999983 -1534.730844232385 -251.16281310860606
298.15 NI SB 0.7 0.3 -34207.75 -23493.42 35.936026 -10714.326151899999 402.5 0.595 -525.4374999999999 -1514.313164037668 -269.5643414847414
298.15 NI SB 0.71 0.29 -33780.1 -23084.64 35.872731 -10695.45474765 408.25 0.6035 -558.65195 -1492.7148576699553 -288.51892884556577
