T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NI V 0.0 1.0 -9209.853 0.0002657617 30.89 -9209.8535 5.75e-28 8.5e-31 -9209.853 0.0 -0.0
298.15 NI V 1.0 0.0 -1521.871 7989.419 31.901023 -9511.29000745 575.0 0.85 -1521.871 0.0 -1042.4491903721046
298.15 NI V 0.01 0.99 -9645.451 -343.6374 31.198436 -9301.8136934 5.75 0.0085 -9132.973179999999 -138.82602141683572 -2.3897047489119965e-09
298.15 NI V 0.02 0.98 -10026.91 -663.1865 31.406095 -9363.72722425 11.5 0.017 -9056.093359999999 -243.03584172567548 -1.5229927983225914e-07
298.15 NI V 0.03 0.97 -10375.99 -959.1065 31.58439 -9416.8858785 17.25 0.0255 -8979.213539999999 -334.02154674813943 -1.727554339575452e-06
298.15 NI V 0.04 0.96 -10697.59 -1231.857 31.748228 -9465.7341782 23.0 0.034 -8902.333719999999 -416.3281974105132 -9.66635953082306e-06
298.15 NI V 0.05 0.95 -10994.23 -1481.898 31.904508 -9512.3290602 28.75 0.0425 -8825.453899999999 -492.11297050679866 -3.6722660763931226e-05
298.15 NI V 0.06 0.94 -11267.53 -1709.69 32.05715 -9557.8392725 34.5 0.051 -8748.574079999999 -562.6452650375949 -0.000109205589104795
298.15 NI V 0.07 0.93 -11518.69 -1915.691 32.208625 -9603.001543749999 40.25 0.0595 -8671.694259999998 -628.7628773593874 -0.00027425894881363306
298.15 NI V 0.08 0.92 -11748.67 -2100.363 32.360591 -9648.31020665 46.0 0.068 -8594.81444 -691.0604007790716 -0.0006086385756193444
298.15 NI V 0.09 0.91 -11958.27 -2264.165 32.514195 -9694.10723925 51.75 0.0765 -8517.93462 -749.9816351924776 -0.0012289471557787245
298.15 NI V 0.1 0.9 -12148.2 -2407.56 32.670252 -9740.635633799999 57.5 0.085 -8441.054799999998 -805.870345271772 -0.002303287768377704
298.15 NI V 0.11 0.89 -12319.07 -2531.007 32.829339 -9788.06742285 63.25 0.0935 -8364.17498 -859.000492370776 -0.004064298999415338
298.15 NI V 0.12 0.88 -12471.49 -2634.97 32.99186 -9836.523059 69.0 0.102 -8287.29516 -909.5953759771999 -0.006823535984027621
298.15 NI V 0.13 0.87 -12606.0 -2719.91 33.158094 -9886.085726099998 74.75 0.1105 -8210.41534 -957.840348132521 -0.010987163172327204
298.15 NI V 0.14 0.86 -12723.1 -2786.292 33.328217 -9936.80789855 80.5 0.119 -8133.5355199999985 -1003.8915915105914 -0.01707292599826273
298.15 NI V 0.15 0.85 -12823.3 -2834.579 33.502325 -9988.718198749999 86.25 0.1275 -8056.655699999998 -1047.882375954332 -0.02572836998004602
298.15 NI V 0.16 0.84 -12907.06 -2865.238 33.680452 -10041.8267638 92.0 0.136 -7979.775879999999 -1089.9276385420173 -0.037750277126771016
298.15 NI V 0.17 0.83 -12974.86 -2878.735 33.862576 -10096.127034399999 97.75 0.1445 -7902.896059999999 -1130.1274135160918 -0.054105290918159694
298.15 NI V 0.18 0.82 -13027.14 -2875.539 34.048632 -10151.5996308 103.5 0.153 -7826.01624 -1168.5694517045056 -0.07595170263855973
298.15 NI V 0.19 0.81 -13064.33 -2856.119 34.238515 -10208.21324725 109.25 0.1615 -7749.13642 -1205.3312553507326 -0.10466237359618344
298.15 NI V 0.2 0.8 -13086.87 -2820.947 34.432087 -10265.92673905 115.0 0.17 -7672.2566 -1240.4816826440385 -0.14184876991177503
298.15 NI V 0.21 0.79 -13095.19 -2770.498 34.62918 -10324.690016999999 120.75 0.1785 -7595.37678 -1274.08222978906 -0.18938608935933912
298.15 NI V 0.22 0.78 -13089.69 -2705.246 34.829598 -10384.444643699999 126.5 0.187 -7518.49696 -1306.188067542519 -0.2494394635276802
298.15 NI V 0.23 0.77 -13070.8 -2625.67 35.033121 -10445.125026149999 132.25 0.1955 -7441.61714 -1336.8488881016199 -0.3244912238215232
298.15 NI V 0.24 0.76 -13038.91 -2532.252 35.239506 -10506.658713899998 138.0 0.204 -7364.737319999999 -1366.1096036088943 -0.41736922718689756
298.15 NI V 0.25 0.75 -12994.44 -2425.474 35.448487 -10568.96639905 143.75 0.2125 -7287.857499999999 -1394.0109271940482 -0.5312762478080173
298.15 NI V 0.26 0.74 -12937.79 -2305.824 35.65978 -10631.963407 149.5 0.221 -7210.977679999999 -1420.5898600324033 -0.6698204555580876
298.15 NI V 0.27 0.73 -12869.35 -2173.791 35.873078 -10695.5582057 155.25 0.2295 -7134.097859999999 -1445.8801024662048 -0.837047022250853
298.15 NI V 0.28 0.72 -12789.52 -2029.87 36.088057 -10759.65419455 161.0 0.238 -7057.218039999999 -1469.9124032129614 -1.0374709247801785
298.15 NI V 0.29 0.71 -12698.71 -1874.557 36.304373 -10824.148809949998 166.75 0.2465 -6980.33822 -1492.7148576699553 -1.2761110527342479
298.15 NI V 0.3 0.7 -12597.29 -1708.354 36.521661 -10888.933227149999 172.5 0.255 -6903.4583999999995 -1514.313164037668 -1.5585257805451453
298.15 NI V 0.31 0.69 -12485.66 -1531.768 36.739541 -10953.894149149999 178.25 0.2635 -6826.578579999999 -1534.730844232385 -1.8908502353072068
298.15 NI V 0.32 0.68 -12364.22 -1345.31 36.957608 -11018.910825199999 184.0 0.272 -6749.698759999999 -1553.9894352015579 -2.279835587192648
298.15 NI V 0.33 0.67 -12233.35 -1149.494 37.175441 -11083.857734149999 189.75 0.2805 -6672.818939999998 -1572.1086551954763 -2.7328908181061355
298.15 NI V 0.34 0.66 -12093.45 -944.8434 37.392596 -11148.6024974 195.5 0.289 -6595.939119999998 -1589.1065487133012 -3.2581275969655077
298.15 NI V 0.35 0.65 -11944.89 -731.8856 37.608607 -11213.00617705 201.25 0.2975 -6519.0593 -1604.9996131775667 -3.8644091220710695
298.15 NI V 0.36 0.64 -11788.08 -511.1554 37.822986 -11276.923275899999 207.0 0.306 -6442.17948 -1619.8029098595373 -4.561404103810612
298.15 NI V 0.37 0.63 -11623.39 -283.195 38.035216 -11340.199650399998 212.75 0.3145 -6365.29966 -1633.5301611487748 -5.359647484753768
298.15 NI V 0.38 0.62 -11451.23 -48.55546 38.244754 -11402.673405099998 218.5 0.323 -6288.41984 -1646.193835911596 -6.2706100725310305
