T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 NI ZN 0.0 1.0 -10273.5 2886.96 44.1404 -13160.460259999998 0.0 0.0 -10273.5 0.0 -0.0
298.15 NI ZN 1.0 0.0 -351.7577 10554.15 36.578606 -10905.911378899998 0.0 0.0 -351.7577 0.0 -0.0
298.15 NI ZN 0.01 0.99 -9625.68 3776.478 44.951059 -13402.15824085 0.0 0.0 -10174.282577 -138.82602141683572 -0.0
298.15 NI ZN 0.02 0.98 -9075.257 4517.015 45.588704 -13592.272097599998 0.0 0.0 -10075.065154 -243.03584172567548 -0.0
298.15 NI ZN 0.03 0.97 -8636.534 5116.449 46.127731 -13752.982997649999 0.0 0.0 -9975.847731 -334.02154674813943 -0.0
298.15 NI ZN 0.04 0.96 -8307.114 5582.497 46.585982 -13889.6105333 0.0 0.0 -9876.630308 -416.3281974105132 -0.0
298.15 NI ZN 0.05 0.95 -8082.352 5922.72 46.973243 -14005.072400449997 0.0 0.0 -9777.412885 -492.11297050679866 -0.0
298.15 NI ZN 0.06 0.94 -7956.861 6144.522 47.296272 -14101.3834968 0.0 0.0 -9678.195462 -562.6452650375949 -0.0
298.15 NI ZN 0.07 0.93 -7924.965 6255.149 47.560335 -14180.113880249999 0.0 0.0 -9578.978039 -628.7628773593874 -0.0
298.15 NI ZN 0.08 0.92 -7980.885 6261.69 47.769832 -14242.5754108 0.0 0.0 -9479.760616000001 -691.0604007790716 -0.0
298.15 NI ZN 0.09 0.91 -8118.839 6171.076 47.928608 -14289.914475199997 0.0 0.0 -9380.543193 -749.9816351924776 -0.0
298.15 NI ZN 0.1 0.9 -8333.084 5990.08 48.040127 -14323.163865049999 0.0 0.0 -9281.32577 -805.870345271772 -0.0
298.15 NI ZN 0.11 0.89 -8617.953 5725.319 48.107569 -14343.27169735 0.0 0.0 -9182.108347000001 -859.000492370776 -0.0
298.15 NI ZN 0.12 0.88 -8967.87 5383.251 48.133899 -14351.12198685 0.0 0.0 -9082.890924000001 -909.5953759771999 -0.0
298.15 NI ZN 0.13 0.87 -9377.366 4970.179 48.121902 -14347.545081299999 0.0 0.0 -8983.673501 -957.840348132521 -0.0
298.15 NI ZN 0.14 0.86 -9841.083 4492.247 48.074222 -14333.329289299998 0.0 0.0 -8884.456078 -1003.8915915105914 -0.0
298.15 NI ZN 0.15 0.85 -10353.79 3955.439 47.993375 -14309.22475625 0.0 0.0 -8785.238655000001 -1047.882375954332 -0.0
298.15 NI ZN 0.16 0.84 -10910.36 3365.587 47.881769 -14275.949427349999 0.0 0.0 -8686.021232 -1089.9276385420173 -0.0
298.15 NI ZN 0.17 0.83 -11505.83 2728.362 47.741713 -14234.191730949999 0.0 0.0 -8586.803809 -1130.1274135160918 -0.0
298.15 NI ZN 0.18 0.82 -12135.34 2049.277 47.575427 -14184.613560049998 0.0 0.0 -8487.586386 -1168.5694517045056 -0.0
298.15 NI ZN 0.19 0.81 -12794.16 1333.689 47.38505 -14127.8526575 0.0 0.0 -8388.368962999999 -1205.3312553507326 -0.0
298.15 NI ZN 0.2 0.8 -13477.72 586.7991 47.172643 -14064.523510449999 0.0 0.0 -8289.15154 -1240.4816826440385 -0.0
298.15 NI ZN 0.21 0.79 -14181.57 -186.3523 46.940193 -13995.218542949999 0.0 0.0 -8189.934117000001 -1274.08222978906 -0.0
298.15 NI ZN 0.22 0.78 -14901.39 -980.8804 46.689619 -13920.50990485 0.0 0.0 -8090.716694 -1306.188067542519 -0.0
298.15 NI ZN 0.23 0.77 -15633.01 -1792.058 46.422775 -13840.95036625 0.0 0.0 -7991.499271000001 -1336.8488881016199 -0.0
298.15 NI ZN 0.24 0.76 -16372.39 -2615.316 46.141449 -13757.073019349999 0.0 0.0 -7892.281848 -1366.1096036088943 -0.0
298.15 NI ZN 0.25 0.75 -17115.63 -3446.241 45.847368 -13669.3927692 0.0 0.0 -7793.064425 -1394.0109271940482 -0.0
298.15 NI ZN 0.26 0.74 -17858.99 -4280.58 45.542197 -13578.406035549999 0.0 0.0 -7693.847002 -1420.5898600324033 -0.0
298.15 NI ZN 0.27 0.73 -18598.83 -5114.234 45.227544 -13484.5922436 0.0 0.0 -7594.6295789999995 -1445.8801024662048 -0.0
298.15 NI ZN 0.28 0.72 -19331.68 -5943.265 44.904958 -13388.413227699999 0.0 0.0 -7495.412156 -1469.9124032129614 -0.0
298.15 NI ZN 0.29 0.71 -20054.2 -6763.889 44.575931 -13290.313827649998 0.0 0.0 -7396.194732999999 -1492.7148576699553 -0.0
298.15 NI ZN 0.3 0.7 -20763.2 -7572.482 44.2419 -13190.722485 0.0 0.0 -7296.97731 -1514.313164037668 -0.0
298.15 NI ZN 0.31 0.69 -21455.63 -8365.575 43.904244 -13090.050348599998 0.0 0.0 -7197.759886999999 -1534.730844232385 -0.0
298.15 NI ZN 0.32 0.68 -22128.55 -9139.86 43.564291 -12988.693361649997 0.0 0.0 -7098.542463999999 -1553.9894352015579 -0.0
298.15 NI ZN 0.33 0.67 -22779.21 -9892.184 43.223312 -12887.0304728 0.0 0.0 -6999.325040999999 -1572.1086551954763 -0.0
298.15 NI ZN 0.34 0.66 -23404.98 -10619.55 42.882526 -12785.425126899998 0.0 0.0 -6900.107617999999 -1589.1065487133012 -0.0
298.15 NI ZN 0.35 0.65 -24003.35 -11319.12 42.543099 -12684.224966849999 0.0 0.0 -6800.890195000001 -1604.9996131775667 -0.0
298.15 NI ZN 0.36 0.64 -24571.98 -11988.22 42.206143 -12583.761535449998 0.0 0.0 -6701.672772 -1619.8029098595373 -0.0
298.15 NI ZN 0.37 0.63 -25108.67 -12624.32 41.872717 -12484.35057355 0.0 0.0 -6602.455349 -1633.5301611487748 -0.0
298.15 NI ZN 0.38 0.62 -25611.35 -13225.05 41.54383 -12386.2929145 0.0 0.0 -6503.237926 -1646.193835911596 -0.0
