T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 O ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 0.0 0.0 -6719.723 0.0 -0.0
298.15 O ZR 1.0 0.0 -642984.9 -632111.1 36.470678 -10873.7326457 0.0 0.0 -642984.9 0.0 -0.0
298.15 O ZR 0.01 0.99 -15930.91 -1723.394 47.652242 -14207.515952299998 0.0 0.0 -13082.37477 -138.82602141683572 -0.0
298.15 O ZR 0.02 0.98 -25036.83 -10704.57 48.070634 -14332.2595271 0.0 0.0 -19445.02654 -243.03584172567548 -0.0
298.15 O ZR 0.03 0.97 -34069.58 -19632.41 48.422496 -14437.1671824 0.0 0.0 -25807.67831 -334.02154674813943 -0.0
298.15 O ZR 0.04 0.96 -43035.97 -28506.92 48.730693 -14529.05611795 0.0 0.0 -32170.33008 -416.3281974105132 -0.0
298.15 O ZR 0.05 0.95 -51939.24 -37328.08 49.006079 -14611.162453849998 0.0 0.0 -38532.981850000004 -492.11297050679866 -0.0
298.15 O ZR 0.06 0.94 -60781.29 -46095.9 49.255039 -14685.389877849997 0.0 0.0 -44895.63361999999 -562.6452650375949 -0.0
298.15 O ZR 0.07 0.93 -69563.38 -54810.38 49.481788 -14752.995092199999 0.0 0.0 -51258.285390000005 -628.7628773593874 -0.0
298.15 O ZR 0.08 0.92 -78286.4 -63471.53 49.689319 -14814.870459849999 0.0 0.0 -57620.93716 -691.0604007790716 -0.0
298.15 O ZR 0.09 0.91 -86951.01 -72079.33 49.879863 -14871.68115345 0.0 0.0 -63983.588930000005 -749.9816351924776 -0.0
298.15 O ZR 0.1 0.9 -95557.74 -80633.8 50.055151 -14923.94327065 0.0 0.0 -70346.24070000001 -805.870345271772 -0.0
298.15 O ZR 0.11 0.89 -104107.0 -89134.92 50.21656 -14972.067363999999 0.0 0.0 -76708.89247 -859.000492370776 -0.0
298.15 O ZR 0.12 0.88 -112599.1 -97582.71 50.365214 -15016.3885541 0.0 0.0 -83071.54423999999 -909.5953759771999 -0.0
298.15 O ZR 0.13 0.87 -121034.3 -105977.2 50.502046 -15057.185014899998 0.0 0.0 -89434.19601000001 -957.840348132521 -0.0
298.15 O ZR 0.14 0.86 -129413.0 -114318.3 50.627841 -15094.690794149998 0.0 0.0 -95796.84778000001 -1003.8915915105914 -0.0
298.15 O ZR 0.15 0.85 -137735.1 -122606.0 50.74327 -15129.1059505 0.0 0.0 -102159.49955000001 -1047.882375954332 -0.0
298.15 O ZR 0.16 0.84 -146001.1 -130840.5 50.848911 -15160.60281465 0.0 0.0 -108522.15132 -1089.9276385420173 -0.0
298.15 O ZR 0.17 0.83 -154210.9 -139021.6 50.945267 -15189.33135605 0.0 0.0 -114884.80309 -1130.1274135160918 -0.0
298.15 O ZR 0.18 0.82 -162364.7 -147149.3 51.03278 -15215.423357 0.0 0.0 -121247.45486000001 -1168.5694517045056 -0.0
298.15 O ZR 0.19 0.81 -170462.7 -155223.7 51.11184 -15238.995095999999 0.0 0.0 -127610.10663000001 -1205.3312553507326 -0.0
298.15 O ZR 0.2 0.8 -178504.9 -163244.8 51.182792 -15260.149434799998 0.0 0.0 -133972.75840000002 -1240.4816826440385 -0.0
298.15 O ZR 0.21 0.79 -186491.5 -171212.5 51.245948 -15278.979396199999 0.0 0.0 -140335.41017 -1274.08222978906 -0.0
298.15 O ZR 0.22 0.78 -194422.5 -179126.9 51.301583 -15295.56697145 0.0 0.0 -146698.06194 -1306.188067542519 -0.0
298.15 O ZR 0.23 0.77 -202298.0 -186988.0 51.349948 -15309.986996199998 0.0 0.0 -153060.71371 -1336.8488881016199 -0.0
298.15 O ZR 0.24 0.76 -210118.0 -194795.7 51.39127 -15322.307150499999 0.0 0.0 -159423.36547999998 -1366.1096036088943 -0.0
298.15 O ZR 0.25 0.75 -217882.6 -202550.1 51.425752 -15332.587958799999 0.0 0.0 -165786.01725 -1394.0109271940482 -0.0
298.15 O ZR 0.26 0.74 -225592.0 -210251.1 51.453581 -15340.885175149999 0.0 0.0 -172148.66902000003 -1420.5898600324033 -0.0
298.15 O ZR 0.27 0.73 -233246.0 -217898.8 51.474927 -15347.249485049999 0.0 0.0 -178511.32079 -1445.8801024662048 -0.0
