T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 PB SC 0.0 1.0 -8654.576 1979.731 35.66764 -10634.306865999999 0.0 0.0 -8654.576 0.0 -0.0
298.15 PB SC 1.0 0.0 -17248.09 2400.0 65.900001 -19648.08529815 0.0 0.0 -17248.09 0.0 -0.0
298.15 PB SC 0.01 0.99 -9544.279 1307.12 36.395771 -10851.39912365 0.0 0.0 -8740.511139999999 -138.82602141683572 -0.0
298.15 PB SC 0.02 0.98 -10385.93 648.1823 37.008603 -11034.11498445 0.0 0.0 -8826.446279999998 -243.03584172567548 -0.0
298.15 PB SC 0.03 0.97 -11200.93 2.91746 37.577886 -11203.8467109 0.0 0.0 -8912.381419999998 -334.02154674813943 -0.0
298.15 PB SC 0.04 0.96 -11993.81 -628.6744 38.118863 -11365.139003449998 0.0 0.0 -8998.31656 -416.3281974105132 -0.0
298.15 PB SC 0.05 0.95 -12766.74 -1246.593 38.63877 -11520.1492755 0.0 0.0 -9084.251699999999 -492.11297050679866 -0.0
298.15 PB SC 0.06 0.94 -13520.99 -1850.839 39.141865 -11670.14704975 0.0 0.0 -9170.186839999998 -562.6452650375949 -0.0
298.15 PB SC 0.07 0.93 -14257.38 -2441.412 39.630957 -11815.96982955 0.0 0.0 -9256.121979999998 -628.7628773593874 -0.0
298.15 PB SC 0.08 0.92 -14976.52 -3018.312 40.108041 -11958.212424149999 0.0 0.0 -9342.05712 -691.0604007790716 -0.0
298.15 PB SC 0.09 0.91 -15678.86 -3581.538 40.574605 -12097.318480749998 0.0 0.0 -9427.992259999999 -749.9816351924776 -0.0
298.15 PB SC 0.1 0.9 -16364.72 -4131.092 41.031802 -12233.631766299999 0.0 0.0 -9513.9274 -805.870345271772 -0.0
298.15 PB SC 0.11 0.89 -17034.4 -4666.973 41.480551 -12367.42628065 0.0 0.0 -9599.86254 -859.000492370776 -0.0
298.15 PB SC 0.12 0.88 -17688.11 -5189.181 41.921602 -12498.925636299999 0.0 0.0 -9685.79768 -909.5953759771999 -0.0
298.15 PB SC 0.13 0.87 -18326.03 -5697.716 42.355575 -12628.31468625 0.0 0.0 -9771.73282 -957.840348132521 -0.0
298.15 PB SC 0.14 0.86 -18948.33 -6192.577 42.782995 -12755.749959249999 0.0 0.0 -9857.667959999999 -1003.8915915105914 -0.0
298.15 PB SC 0.15 0.85 -19555.13 -6673.766 43.204308 -12881.364430199998 0.0 0.0 -9943.603099999998 -1047.882375954332 -0.0
298.15 PB SC 0.16 0.84 -20146.56 -7141.282 43.619901 -13005.273483149998 0.0 0.0 -10029.538239999998 -1089.9276385420173 -0.0
298.15 PB SC 0.17 0.83 -20722.7 -7595.125 44.030108 -13127.5767002 0.0 0.0 -10115.47338 -1130.1274135160918 -0.0
298.15 PB SC 0.18 0.82 -21283.66 -8035.295 44.435224 -13248.3620356 0.0 0.0 -10201.408519999999 -1168.5694517045056 -0.0
298.15 PB SC 0.19 0.81 -21829.5 -8461.792 44.835509 -13367.70700835 0.0 0.0 -10287.343659999999 -1205.3312553507326 -0.0
298.15 PB SC 0.2 0.8 -22360.3 -8874.615 45.231193 -13485.680192949998 0.0 0.0 -10373.2788 -1240.4816826440385 -0.0
298.15 PB SC 0.21 0.79 -22876.11 -9273.766 45.622484 -13602.343604599999 0.0 0.0 -10459.21394 -1274.08222978906 -0.0
298.15 PB SC 0.22 0.78 -23377.0 -9659.244 46.009566 -13717.752102899998 0.0 0.0 -10545.14908 -1306.188067542519 -0.0
298.15 PB SC 0.23 0.77 -23863.0 -10031.05 46.392606 -13831.9554789 0.0 0.0 -10631.08422 -1336.8488881016199 -0.0
298.15 PB SC 0.24 0.76 -24334.18 -10389.18 46.771754 -13944.9984551 0.0 0.0 -10717.019359999998 -1366.1096036088943 -0.0
298.15 PB SC 0.25 0.75 -24790.56 -10733.64 47.147147 -14056.921878049998 0.0 0.0 -10802.9545 -1394.0109271940482 -0.0
298.15 PB SC 0.26 0.74 -25232.19 -11064.43 47.518909 -14167.762718349999 0.0 0.0 -10888.88964 -1420.5898600324033 -0.0
298.15 PB SC 0.27 0.73 -25659.09 -11381.54 47.887153 -14277.554666949998 0.0 0.0 -10974.824779999999 -1445.8801024662048 -0.0
298.15 PB SC 0.28 0.72 -26071.31 -11684.98 48.251982 -14386.3284333 0.0 0.0 -11060.75992 -1469.9124032129614 -0.0
298.15 PB SC 0.29 0.71 -26468.86 -11974.74 48.613491 -14494.11234165 0.0 0.0 -11146.695059999998 -1492.7148576699553 -0.0
298.15 PB SC 0.3 0.7 -26851.77 -12250.84 48.971766 -14600.9320329 0.0 0.0 -11232.6302 -1514.313164037668 -0.0
298.15 PB SC 0.31 0.69 -27220.07 -12513.26 49.326885 -14706.810762749998 0.0 0.0 -11318.56534 -1534.730844232385 -0.0
298.15 PB SC 0.32 0.68 -27573.78 -12762.01 49.678921 -14811.77029615 0.0 0.0 -11404.500479999999 -1553.9894352015579 -0.0
298.15 PB SC 0.33 0.67 -27912.91 -12997.08 50.02794 -14915.830311 0.0 0.0 -11490.43562 -1572.1086551954763 -0.0
298.15 PB SC 0.34 0.66 -28237.49 -13218.48 50.374002 -15019.008696299998 0.0 0.0 -11576.37076 -1589.1065487133012 -0.0
298.15 PB SC 0.35 0.65 -28547.53 -13426.21 50.717163 -15121.322148449999 0.0 0.0 -11662.3059 -1604.9996131775667 -0.0
