T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 SM SB 0.0 1.0 -18291.03 3383.115 72.695448 -21674.147821199997 0.0 0.0 -18291.03 0.0 -0.0
298.15 SM SB 1.0 0.0 1799.574 19874.0 60.621918 -18074.424851699998 0.0 0.0 1799.574 0.0 -0.0
298.15 SM SB 0.01 0.99 -20781.17 995.8034 73.040338 -21776.9767747 0.0 0.0 -18090.12396 -138.82602141683572 -0.0
298.15 SM SB 0.02 0.98 -23185.14 -1339.948 73.269125 -21845.18961875 0.0 0.0 -17889.21792 -243.03584172567548 -0.0
298.15 SM SB 0.03 0.97 -25524.32 -3624.139 73.453557 -21900.17801955 0.0 0.0 -17688.31188 -334.02154674813943 -0.0
298.15 SM SB 0.04 0.96 -27803.26 -5856.77 73.60888 -21946.487572 0.0 0.0 -17487.405839999996 -416.3281974105132 -0.0
298.15 SM SB 0.05 0.95 -30024.12 -8037.841 73.742329 -21986.27539135 0.0 0.0 -17286.499799999998 -492.11297050679866 -0.0
298.15 SM SB 0.06 0.94 -32188.16 -10167.35 73.85816 -22020.810403999996 0.0 0.0 -17085.593759999996 -562.6452650375949 -0.0
298.15 SM SB 0.07 0.93 -34296.23 -12245.3 73.959185 -22050.93100775 0.0 0.0 -16884.687719999998 -628.7628773593874 -0.0
298.15 SM SB 0.08 0.92 -36348.93 -14271.69 74.047396 -22077.2311174 0.0 0.0 -16683.78168 -691.0604007790716 -0.0
298.15 SM SB 0.09 0.91 -38346.68 -16246.53 74.124284 -22100.155274599998 0.0 0.0 -16482.87564 -749.9816351924776 -0.0
298.15 SM SB 0.1 0.9 -40289.84 -18169.8 74.191001 -22120.046948149997 0.0 0.0 -16281.9696 -805.870345271772 -0.0
298.15 SM SB 0.11 0.89 -42178.69 -20041.51 74.248465 -22137.17983975 0.0 0.0 -16081.063559999999 -859.000492370776 -0.0
298.15 SM SB 0.12 0.88 -44013.44 -21861.66 74.297426 -22151.7775619 0.0 0.0 -15880.157519999999 -909.5953759771999 -0.0
298.15 SM SB 0.13 0.87 -45794.28 -23630.25 74.338505 -22164.02526575 0.0 0.0 -15679.251479999999 -957.840348132521 -0.0
298.15 SM SB 0.14 0.86 -47521.36 -25347.28 74.372227 -22174.079480049997 0.0 0.0 -15478.34544 -1003.8915915105914 -0.0
298.15 SM SB 0.15 0.85 -49194.83 -27012.75 74.399037 -22182.07288155 0.0 0.0 -15277.439399999997 -1047.882375954332 -0.0
298.15 SM SB 0.16 0.84 -50814.78 -28626.66 74.419323 -22188.12115245 0.0 0.0 -15076.53336 -1089.9276385420173 -0.0
298.15 SM SB 0.17 0.83 -52381.34 -30189.02 74.433418 -22192.3235767 0.0 0.0 -14875.62732 -1130.1274135160918 -0.0
298.15 SM SB 0.18 0.82 -53894.57 -31699.81 74.441618 -22194.7684067 0.0 0.0 -14674.72128 -1168.5694517045056 -0.0
298.15 SM SB 0.19 0.81 -55354.57 -33159.04 74.444183 -22195.533161449996 0.0 0.0 -14473.81524 -1205.3312553507326 -0.0
298.15 SM SB 0.2 0.8 -56761.39 -34566.71 74.441343 -22194.68641545 0.0 0.0 -14272.9092 -1240.4816826440385 -0.0
298.15 SM SB 0.21 0.79 -58115.11 -35922.82 74.433305 -22192.28988575 0.0 0.0 -14072.003159999998 -1274.08222978906 -0.0
298.15 SM SB 0.22 0.78 -59415.77 -37227.37 74.420253 -22188.398431949998 0.0 0.0 -13871.09712 -1306.188067542519 -0.0
298.15 SM SB 0.23 0.77 -60663.42 -38480.36 74.402355 -22183.062143249997 0.0 0.0 -13670.19108 -1336.8488881016199 -0.0
298.15 SM SB 0.24 0.76 -61858.12 -39681.79 74.37976 -22176.325444 0.0 0.0 -13469.285039999999 -1366.1096036088943 -0.0
298.15 SM SB 0.25 0.75 -62999.89 -40831.66 74.352607 -22168.22977705 0.0 0.0 -13268.378999999999 -1394.0109271940482 -0.0
298.15 SM SB 0.26 0.74 -64088.79 -41929.98 74.321018 -22158.811516699996 0.0 0.0 -13067.47296 -1420.5898600324033 -0.0
298.15 SM SB 0.27 0.73 -65124.83 -42976.73 74.285106 -22148.1043539 0.0 0.0 -12866.566919999997 -1445.8801024662048 -0.0
298.15 SM SB 0.28 0.72 -66108.06 -43971.92 74.244976 -22136.139594399996 0.0 0.0 -12665.66088 -1469.9124032129614 -0.0
298.15 SM SB 0.29 0.71 -67038.49 -44915.55 74.200721 -22122.94496615 0.0 0.0 -12464.75484 -1492.7148576699553 -0.0
298.15 SM SB 0.3 0.7 -67916.17 -45807.62 74.152426 -22108.5458119 0.0 0.0 -12263.848799999998 -1514.313164037668 -0.0
298.15 SM SB 0.31 0.69 -68741.1 -46648.13 74.100172 -22092.9662818 0.0 0.0 -12062.942759999998 -1534.730844232385 -0.0
298.15 SM SB 0.32 0.68 -69513.31 -47437.08 74.044031 -22076.227842649998 0.0 0.0 -11862.036719999998 -1553.9894352015579 -0.0
298.15 SM SB 0.33 0.67 -70232.82 -48174.47 73.984068 -22058.349874199997 0.0 0.0 -11661.130679999997 -1572.1086551954763 -0.0
298.15 SM SB 0.34 0.66 -70899.66 -48860.3 73.920344 -22039.350563599997 0.0 0.0 -11460.224639999997 -1589.1065487133012 -0.0
298.15 SM SB 0.35 0.65 -71513.82 -49494.58 73.852914 -22019.2463091 0.0 0.0 -11259.3186 -1604.9996131775667 -0.0
298.15 SM SB 0.36 0.64 -72075.34 -50077.29 73.781829 -21998.05231635 0.0 0.0 -11058.412559999999 -1619.8029098595373 -0.0
298.15 SM SB 0.37 0.63 -72584.22 -50608.44 73.707136 -21975.7825984 0.0 0.0 -10857.506519999999 -1633.5301611487748 -0.0
298.15 SM SB 0.38 0.62 -73040.48 -51088.03 73.628874 -21952.448783099997 0.0 0.0 -10656.60048 -1646.193835911596 -0.0
298.15 SM SB 0.39 0.61 -73444.12 -51516.06 73.547084 -21928.0630946 0.0 0.0 -10455.69444 -1657.8052243977716 -0.0
298.15 SM SB 0.4 0.6 -73795.17 -51892.53 73.461798 -21902.6350737 0.0 0.0 -10254.788399999998 -1668.3745039196444 -0.0
298.15 SM SB 0.41 0.59 -74093.62 -52217.44 73.373048 -21876.174261199998 0.0 0.0 -10053.882360000001 -1677.9107963326926 -0.0
298.15 SM SB 0.42 0.58 -74339.48 -52490.79 73.28086 -21848.688409 0.0 0.0 -9852.976320000002 -1686.4222181834425 -0.0
298.15 SM SB 0.43 0.57 -74532.77 -52712.59 73.185259 -21820.184970849998 0.0 0.0 -9652.07028 -1693.9159242532326 -0.0
298.15 SM SB 0.44 0.56 -74673.49 -52882.82 73.086265 -21790.66990975 0.0 0.0 -9451.16424 -1700.3981451097393 -0.0
298.15 SM SB 0.45 0.55 -74761.64 -53001.49 72.983897 -21760.148890549997 0.0 0.0 -9250.2582 -1705.8742191782392 -0.0
298.15 SM SB 0.46 0.54 -74797.22 -53068.6 72.878168 -21728.6257892 0.0 0.0 -9049.352159999999 -1710.3486197582595 -0.0
298.15 SM SB 0.47 0.53 -74780.25 -53084.15 72.769093 -21696.105077949996 0.0 0.0 -8848.44612 -1713.8249773357109 -0.0
298.15 SM SB 0.48 0.52 -74710.73 -53048.14 72.656679 -21662.588843849997 0.0 0.0 -8647.54008 -1716.3060974737868 -0.0
298.15 SM SB 0.49 0.51 -74588.65 -52960.57 72.540934 -21628.079472099995 0.0 0.0 -8446.634039999999 -1717.7939745058845 -0.0
298.15 SM SB 0.5 0.5 -74414.02 -52821.44 72.421862 -21592.578155299998 0.0 0.0 -8245.728 -1718.289801199083 -0.0
298.15 SM SB 0.51 0.49 -74186.84 -52630.75 72.299464 -21556.0851916 0.0 0.0 -8044.821959999999 -1717.7939745058845 -0.0
298.15 SM SB 0.52 0.48 -73907.11 -52388.51 72.173738 -21518.5999847 0.0 0.0 -7843.915919999999 -1716.3060974737868 -0.0
298.15 SM SB 0.53 0.47 -73574.82 -52094.7 72.044681 -21480.12164015 0.0 0.0 -7643.009879999999 -1713.8249773357109 -0.0
