T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 SN Y 0.0 1.0 -7540.397 7187.739 49.39841 -14728.135941499999 0.0 0.0 -7540.397 0.0 -0.0
298.15 SN Y 1.0 0.0 -12648.2 4400.0 57.179958 -17048.204477699997 0.0 0.0 -12648.2 0.0 -0.0
298.15 SN Y 0.01 0.99 -9110.995 5795.798 49.997629 -14906.79308635 0.0 0.0 -7591.47503 -138.82602141683572 -0.0
298.15 SN Y 0.02 0.98 -10619.08 4431.414 50.479619 -15050.49840485 0.0 0.0 -7642.55306 -243.03584172567548 -0.0
298.15 SN Y 0.03 0.97 -12086.06 3094.586 50.916127 -15180.64326505 0.0 0.0 -7693.63109 -334.02154674813943 -0.0
298.15 SN Y 0.04 0.96 -13516.46 1785.316 51.322399 -15301.773261849998 0.0 0.0 -7744.7091199999995 -416.3281974105132 -0.0
298.15 SN Y 0.05 0.95 -14912.44 503.6024 51.705669 -15416.045212349998 0.0 0.0 -7795.787149999999 -492.11297050679866 -0.0
298.15 SN Y 0.06 0.94 -16275.28 -750.5544 52.070196 -15524.7289374 0.0 0.0 -7846.86518 -562.6452650375949 -0.0
298.15 SN Y 0.07 0.93 -17605.82 -1977.154 52.418789 -15628.661940349997 0.0 0.0 -7897.943209999999 -628.7628773593874 -0.0
298.15 SN Y 0.08 0.92 -18904.64 -3176.197 52.753442 -15728.4387323 0.0 0.0 -7949.02124 -691.0604007790716 -0.0
298.15 SN Y 0.09 0.91 -20172.19 -4347.684 53.075645 -15824.50355675 0.0 0.0 -8000.09927 -749.9816351924776 -0.0
298.15 SN Y 0.1 0.9 -21408.81 -5491.613 53.386549 -15917.199584349999 0.0 0.0 -8051.177299999999 -805.870345271772 -0.0
298.15 SN Y 0.11 0.89 -22614.79 -6607.986 53.687075 -16006.801411249999 0.0 0.0 -8102.25533 -859.000492370776 -0.0
298.15 SN Y 0.12 0.88 -23790.33 -7696.801 53.97797 -16093.531755499998 0.0 0.0 -8153.3333600000005 -909.5953759771999 -0.0
298.15 SN Y 0.13 0.87 -24935.64 -8758.06 54.259857 -16177.576364549997 0.0 0.0 -8204.41139 -957.840348132521 -0.0
298.15 SN Y 0.14 0.86 -26050.85 -9791.762 54.533259 -16259.091170849999 0.0 0.0 -8255.48942 -1003.8915915105914 -0.0
298.15 SN Y 0.15 0.85 -27136.12 -10797.91 54.798623 -16338.209447449999 0.0 0.0 -8306.56745 -1047.882375954332 -0.0
298.15 SN Y 0.16 0.84 -28191.54 -11776.5 55.056335 -16415.046280249997 0.0 0.0 -8357.64548 -1089.9276385420173 -0.0
298.15 SN Y 0.17 0.83 -29217.23 -12727.53 55.306731 -16489.701847649998 0.0 0.0 -8408.72351 -1130.1274135160918 -0.0
298.15 SN Y 0.18 0.82 -30213.27 -13651.0 55.550104 -16562.263507599997 0.0 0.0 -8459.80154 -1168.5694517045056 -0.0
298.15 SN Y 0.19 0.81 -31179.73 -14546.92 55.786715 -16632.80907725 0.0 0.0 -8510.879570000001 -1205.3312553507326 -0.0
298.15 SN Y 0.2 0.8 -32116.69 -15415.28 56.016794 -16701.407131099997 0.0 0.0 -8561.957600000002 -1240.4816826440385 -0.0
298.15 SN Y 0.21 0.79 -33024.2 -16256.09 56.240548 -16768.119386199996 0.0 0.0 -8613.03563 -1274.08222978906 -0.0
298.15 SN Y 0.22 0.78 -33902.33 -17069.33 56.458163 -16833.00129845 0.0 0.0 -8664.113659999999 -1306.188067542519 -0.0
298.15 SN Y 0.23 0.77 -34751.12 -17855.02 56.669803 -16896.10176445 0.0 0.0 -8715.19169 -1336.8488881016199 -0.0
298.15 SN Y 0.24 0.76 -35570.62 -18613.16 56.875621 -16957.46640115 0.0 0.0 -8766.26972 -1366.1096036088943 -0.0
298.15 SN Y 0.25 0.75 -36360.87 -19343.73 57.075753 -17017.13575695 0.0 0.0 -8817.34775 -1394.0109271940482 -0.0
298.15 SN Y 0.26 0.74 -37121.9 -20046.75 57.270322 -17075.1465043 0.0 0.0 -8868.425780000001 -1420.5898600324033 -0.0
298.15 SN Y 0.27 0.73 -37853.75 -20722.22 57.459442 -17131.5326323 0.0 0.0 -8919.50381 -1445.8801024662048 -0.0
298.15 SN Y 0.28 0.72 -38556.45 -21370.12 57.643217 -17186.32514855 0.0 0.0 -8970.58184 -1469.9124032129614 -0.0
298.15 SN Y 0.29 0.71 -39230.02 -21990.47 57.821739 -17239.551482849998 0.0 0.0 -9021.65987 -1492.7148576699553 -0.0
298.15 SN Y 0.3 0.7 -39874.5 -22583.26 57.995096 -17291.237872399997 0.0 0.0 -9072.7379 -1514.313164037668 -0.0
298.15 SN Y 0.31 0.69 -40489.91 -23148.5 58.163366 -17341.4075729 0.0 0.0 -9123.81593 -1534.730844232385 -0.0
298.15 SN Y 0.32 0.68 -41076.26 -23686.18 58.326622 -17390.0823493 0.0 0.0 -9174.89396 -1553.9894352015579 -0.0
298.15 SN Y 0.33 0.67 -41633.58 -24196.3 58.484929 -17437.28158135 0.0 0.0 -9225.97199 -1572.1086551954763 -0.0
298.15 SN Y 0.34 0.66 -42161.89 -24678.87 58.638349 -17483.023754349997 0.0 0.0 -9277.05002 -1589.1065487133012 -0.0
