T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 TB BI 0.0 1.0 -18478.57 4167.835 75.956407 -22646.402747049997 0.0 0.0 -18478.57 0.0 -0.0
298.15 TB BI 1.0 0.0 -9762.825 11297.0 70.635001 -21059.82554815 0.0 0.0 -9762.825 0.0 -0.0
298.15 TB BI 0.01 0.99 -19530.14 3239.227 76.368818 -22769.3630867 0.0 0.0 -18391.41255 -138.82602141683572 -0.0
298.15 TB BI 0.02 0.98 -20526.89 2330.818 76.665126 -22857.7073169 0.0 0.0 -18304.2551 -243.03584172567548 -0.0
298.15 TB BI 0.03 0.97 -21490.22 1442.61 76.91708 -22932.827402 0.0 0.0 -18217.09765 -334.02154674813943 -0.0
298.15 TB BI 0.04 0.96 -22424.67 574.6017 77.139924 -22999.268340599996 0.0 0.0 -18129.940199999997 -416.3281974105132 -0.0
298.15 TB BI 0.05 0.95 -23332.39 -273.2067 77.340894 -23059.1875461 0.0 0.0 -18042.78275 -492.11297050679866 -0.0
298.15 TB BI 0.06 0.94 -24214.67 -1100.815 77.524246 -23113.853944899998 0.0 0.0 -17955.625299999996 -562.6452650375949 -0.0
298.15 TB BI 0.07 0.93 -25072.33 -1908.223 77.692792 -23164.105934799998 0.0 0.0 -17868.467849999997 -628.7628773593874 -0.0
298.15 TB BI 0.08 0.92 -25905.97 -2695.432 77.848525 -23210.537728749998 0.0 0.0 -17781.310400000002 -691.0604007790716 -0.0
298.15 TB BI 0.09 0.91 -26716.03 -3462.44 77.992934 -23253.5932721 0.0 0.0 -17694.15295 -749.9816351924776 -0.0
298.15 TB BI 0.1 0.9 -27502.86 -4209.248 78.127172 -23293.6163318 0.0 0.0 -17606.9955 -805.870345271772 -0.0
298.15 TB BI 0.11 0.89 -28266.74 -4935.857 78.252157 -23330.880609549997 0.0 0.0 -17519.83805 -859.000492370776 -0.0
