T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 TB ER 0.0 1.0 -18478.57 4167.835 75.956407 -22646.402747049997 0.0 0.0 -18478.57 0.0 -0.0
298.15 TB ER 1.0 0.0 -17961.76 4599.997 75.672509 -22561.75855835 0.0 0.0 -17961.76 0.0 -0.0
298.15 TB ER 0.01 0.99 -18612.23 4172.157 76.419193 -22784.38239295 0.0 0.0 -18473.4019 -138.82602141683572 -0.0
298.15 TB ER 0.02 0.98 -18711.27 4176.478 76.765876 -22887.7459294 0.0 0.0 -18468.233799999998 -243.03584172567548 -0.0
298.15 TB ER 0.03 0.97 -18797.09 4180.8 77.068205 -22977.88532075 0.0 0.0 -18463.0657 -334.02154674813943 -0.0
298.15 TB ER 0.04 0.96 -18874.22 4185.122 77.341424 -23059.3455656 0.0 0.0 -18457.897599999997 -416.3281974105132 -0.0
298.15 TB ER 0.05 0.95 -18944.84 4189.443 77.592769 -23134.28407735 0.0 0.0 -18452.729499999998 -492.11297050679866 -0.0
298.15 TB ER 0.06 0.94 -19010.21 4193.765 77.826497 -23203.97008055 0.0 0.0 -18447.5614 -562.6452650375949 -0.0
298.15 TB ER 0.07 0.93 -19071.15 4198.086 78.045418 -23269.241376699996 0.0 0.0 -18442.393299999996 -628.7628773593874 -0.0
298.15 TB ER 0.08 0.92 -19128.28 4202.408 78.251526 -23330.692476899996 0.0 0.0 -18437.2252 -691.0604007790716 -0.0
298.15 TB ER 0.09 0.91 -19182.04 4206.73 78.44631 -23388.767326499998 0.0 0.0 -18432.057099999998 -749.9816351924776 -0.0
298.15 TB ER 0.1 0.9 -19232.76 4211.051 78.630923 -23443.80969245 0.0 0.0 -18426.889 -805.870345271772 -0.0
298.15 TB ER 0.11 0.89 -19280.72 4215.373 78.806283 -23496.093276449996 0.0 0.0 -18421.7209 -859.000492370776 -0.0
298.15 TB ER 0.12 0.88 -19326.15 4219.695 78.973141 -23545.841989149998 0.0 0.0 -18416.552799999998 -909.5953759771999 -0.0
298.15 TB ER 0.13 0.87 -19369.22 4224.016 79.132116 -23593.240385399997 0.0 0.0 -18411.384700000002 -957.840348132521 -0.0
298.15 TB ER 0.14 0.86 -19410.11 4228.338 79.283734 -23638.445292099997 0.0 0.0 -18406.2166 -1003.8915915105914 -0.0
298.15 TB ER 0.15 0.85 -19448.93 4232.659 79.428441 -23681.58968415 0.0 0.0 -18401.0485 -1047.882375954332 -0.0
298.15 TB ER 0.16 0.84 -19485.81 4236.981 79.566623 -23722.78864745 0.0 0.0 -18395.8804 -1089.9276385420173 -0.0
298.15 TB ER 0.17 0.83 -19520.84 4241.303 79.698615 -23762.14206225 0.0 0.0 -18390.7123 -1130.1274135160918 -0.0
298.15 TB ER 0.18 0.82 -19554.11 4245.624 79.824711 -23799.737584649996 0.0 0.0 -18385.5442 -1168.5694517045056 -0.0
298.15 TB ER 0.19 0.81 -19585.71 4249.946 79.945172 -23835.653031799997 0.0 0.0 -18380.3761 -1205.3312553507326 -0.0
298.15 TB ER 0.2 0.8 -19615.69 4254.267 80.060228 -23869.956978199996 0.0 0.0 -18375.208 -1240.4816826440385 -0.0
298.15 TB ER 0.21 0.79 -19644.12 4258.589 80.170086 -23902.7111409 0.0 0.0 -18370.0399 -1274.08222978906 -0.0
298.15 TB ER 0.22 0.78 -19671.06 4262.911 80.274931 -23933.970677649995 0.0 0.0 -18364.8718 -1306.188067542519 -0.0
298.15 TB ER 0.23 0.77 -19696.55 4267.232 80.374929 -23963.785081349997 0.0 0.0 -18359.7037 -1336.8488881016199 -0.0
298.15 TB ER 0.24 0.76 -19720.65 4271.554 80.470231 -23992.199372649997 0.0 0.0 -18354.5356 -1366.1096036088943 -0.0
298.15 TB ER 0.25 0.75 -19743.38 4275.876 80.560974 -24019.254398099998 0.0 0.0 -18349.3675 -1394.0109271940482 -0.0
298.15 TB ER 0.26 0.74 -19764.79 4280.197 80.647281 -24044.98683015 0.0 0.0 -18344.199399999998 -1420.5898600324033 -0.0
298.15 TB ER 0.27 0.73 -19784.91 4284.519 80.729266 -24069.430657899997 0.0 0.0 -18339.0313 -1445.8801024662048 -0.0
298.15 TB ER 0.28 0.72 -19803.78 4288.84 80.807032 -24092.6165908 0.0 0.0 -18333.8632 -1469.9124032129614 -0.0
298.15 TB ER 0.29 0.71 -19821.41 4293.162 80.880673 -24114.57265495 0.0 0.0 -18328.695099999997 -1492.7148576699553 -0.0
298.15 TB ER 0.3 0.7 -19837.84 4297.484 80.950275 -24135.32449125 0.0 0.0 -18323.527 -1514.313164037668 -0.0
298.15 TB ER 0.31 0.69 -19853.09 4301.805 81.015917 -24154.89565355 0.0 0.0 -18318.3589 -1534.730844232385 -0.0
298.15 TB ER 0.32 0.68 -19867.18 4306.127 81.077672 -24173.3079068 0.0 0.0 -18313.190799999997 -1553.9894352015579 -0.0
298.15 TB ER 0.33 0.67 -19880.13 4310.449 81.135605 -24190.58063075 0.0 0.0 -18308.022699999998 -1572.1086551954763 -0.0
298.15 TB ER 0.34 0.66 -19891.96 4314.77 81.189778 -24206.7323107 0.0 0.0 -18302.8546 -1589.1065487133012 -0.0
298.15 TB ER 0.35 0.65 -19902.69 4319.092 81.240244 -24221.778748599998 0.0 0.0 -18297.6865 -1604.9996131775667 -0.0
298.15 TB ER 0.36 0.64 -19912.32 4323.413 81.287056 -24235.7357464 0.0 0.0 -18292.5184 -1619.8029098595373 -0.0
298.15 TB ER 0.37 0.63 -19920.88 4327.735 81.330258 -24248.616422699997 0.0 0.0 -18287.3503 -1633.5301611487748 -0.0
298.15 TB ER 0.38 0.62 -19928.38 4332.057 81.369894 -24260.4338961 0.0 0.0 -18282.1822 -1646.193835911596 -0.0
298.15 TB ER 0.39 0.61 -19934.82 4336.378 81.405999 -24271.198601849996 0.0 0.0 -18277.0141 -1657.8052243977716 -0.0
298.15 TB ER 0.4 0.6 -19940.22 4340.7 81.43861 -24280.921571499995 0.0 0.0 -18271.845999999998 -1668.3745039196444 -0.0
298.15 TB ER 0.41 0.59 -19944.59 4345.022 81.467756 -24289.611451399996 0.0 0.0 -18266.677900000002 -1677.9107963326926 -0.0
298.15 TB ER 0.42 0.58 -19947.93 4349.343 81.493464 -24297.2762916 0.0 0.0 -18261.5098 -1686.4222181834425 -0.0
298.15 TB ER 0.43 0.57 -19950.26 4353.665 81.51576 -24303.923843999997 0.0 0.0 -18256.3417 -1693.9159242532326 -0.0
298.15 TB ER 0.44 0.56 -19951.57 4357.986 81.534662 -24309.559475299997 0.0 0.0 -18251.1736 -1700.3981451097393 -0.0
298.15 TB ER 0.45 0.55 -19951.88 4362.308 81.55019 -24314.189148499998 0.0 0.0 -18246.0055 -1705.8742191782392 -0.0
298.15 TB ER 0.46 0.54 -19951.19 4366.63 81.562358 -24317.8170377 0.0 0.0 -18240.8374 -1710.3486197582595 -0.0
298.15 TB ER 0.47 0.53 -19949.5 4370.951 81.571179 -24320.447018849998 0.0 0.0 -18235.6693 -1713.8249773357109 -0.0
