T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 TI CR 0.0 1.0 -4597.55 6475.8 37.1402 -11073.350629999999 3.115e-28 1e-32 -4597.55 0.0 -0.0
298.15 TI CR 1.0 0.0 -7019.748 -2.409692 23.536267 -7017.338006049999 311.5 0.01 -7019.748 0.0 -1.4306324164505262
298.15 TI CR 0.01 0.99 -4757.777 6386.957 37.37962 -11144.733703 3.115 0.0001 -4621.7719799999995 -138.82602141683572 -1.317327888846212e-12
298.15 TI CR 0.02 0.98 -4883.365 6298.68 37.504766 -11182.045982899997 6.23 0.0002 -4645.99396 -243.03584172567548 -8.43047700691288e-11
298.15 TI CR 0.03 0.97 -4995.711 6210.968 37.587385 -11206.678837749998 9.345 0.0003 -4670.21594 -334.02154674813943 -9.602360185681045e-10
298.15 TI CR 0.04 0.96 -5099.361 6123.817 37.642724 -11223.178160599999 12.46 0.0004 -4694.43792 -416.3281974105132 -5.394965895708822e-09
298.15 TI CR 0.05 0.95 -5196.476 6037.225 37.678016 -11233.7004704 15.575 0.0005 -4718.6599 -492.11297050679866 -2.057913305384478e-08
298.15 TI CR 0.06 0.94 -5288.325 5951.19 37.69752 -11239.515587999998 18.69 0.0006 -4742.88188 -562.6452650375949 -6.14458910687979e-08
298.15 TI CR 0.07 0.93 -5375.751 5865.71 37.704044 -11241.4607186 21.805 0.0007 -4767.103859999999 -628.7628773593874 -1.5493583656272006e-07
298.15 TI CR 0.08 0.92 -5459.35 5780.781 37.699585 -11240.13126775 24.92 0.0008 -4791.32584 -691.0604007790716 -3.452088031687362e-07
298.15 TI CR 0.09 0.91 -5539.568 5696.403 37.68563 -11235.9705845 28.035 0.0009 -4815.547820000001 -749.9816351924776 -6.99802190326433e-07
298.15 TI CR 0.1 0.9 -5616.751 5612.572 37.663331 -11229.322137649999 31.15 0.001 -4839.7698 -805.870345271772 -1.3167354960745076e-06
298.15 TI CR 0.11 0.89 -5691.175 5529.285 37.633609 -11220.460523349999 34.265 0.0011 -4863.99178 -859.000492370776 -2.332560723186314e-06
298.15 TI CR 0.12 0.88 -5763.067 5446.542 37.597212 -11209.608757799999 37.38 0.0012 -4888.21376 -909.5953759771999 -3.931358328174539e-06
298.15 TI CR 0.13 0.87 -5832.614 5364.338 37.554761 -11196.95199215 40.495 0.0013 -4912.43574 -957.840348132521 -6.3546783828936605e-06
298.15 TI CR 0.14 0.86 -5899.974 5282.673 37.506781 -11182.646755149997 43.61 0.0014 -4936.65772 -1003.8915915105914 -9.91242661867176e-06
298.15 TI CR 0.15 0.85 -5965.284 5201.542 37.453718 -11166.8260217 46.725 0.0015 -4960.8796999999995 -1047.882375954332 -1.4994695023174839e-05
298.15 TI CR 0.16 0.84 -6028.66 5120.945 37.395958 -11149.6048777 49.84 0.0016 -4985.10168 -1089.9276385420173 -2.2084536660539318e-05
298.15 TI CR 0.17 0.83 -6090.205 5040.879 37.333837 -11131.08350155 52.955 0.0017 -5009.32366 -1130.1274135160918 -3.1771684385791065e-05
298.15 TI CR 0.18 0.82 -6150.009 4961.34 37.267648 -11111.3492512 56.07 0.0018 -5033.54564 -1168.5694517045056 -4.476721312528882e-05
298.15 TI CR 0.19 0.81 -6208.152 4882.328 37.197652 -11090.4799438 59.185 0.0019 -5057.7676200000005 -1205.3312553507326 -6.191914539603793e-05
298.15 TI CR 0.2 0.8 -6264.706 4803.839 37.12408 -11068.544451999998 62.3 0.002 -5081.989600000001 -1240.4816826440385 -8.42289997384455e-05
298.15 TI CR 0.21 0.79 -6319.733 4725.871 37.047137 -11045.60389655 65.415 0.0021 -5106.21158 -1274.08222978906 -0.00011286928173975972
298.15 TI CR 0.22 0.78 -6373.292 4648.421 36.96701 -11021.7140315 68.53 0.0022 -5130.43356 -1306.188067542519 -0.00014920191732952388
298.15 TI CR 0.23 0.77 -6425.435 4571.488 36.883863 -10996.923753449999 71.645 0.0023 -5154.655540000001 -1336.8488881016199 -0.00019479762803455603
298.15 TI CR 0.24 0.76 -6476.209 4495.069 36.797849 -10971.278679349998 74.76 0.0024 -5178.87752 -1366.1096036088943 -0.0002514562478901329
298.15 TI CR 0.25 0.75 -6525.658 4419.162 36.709104 -10944.8193576 77.875 0.0025 -5203.0995 -1394.0109271940482 -0.00032122798171747125
298.15 TI CR 0.26 0.74 -6573.819 4343.763 36.617751 -10917.58246065 80.99 0.0026 -5227.32148 -1420.5898600324033 -0.00040643560449691327
298.15 TI CR 0.27 0.73 -6620.731 4268.871 36.523903 -10889.60167945 84.105 0.0027 -5251.54346 -1445.8801024662048 -0.0005096976015936017
298.15 TI CR 0.28 0.72 -6666.425 4194.484 36.427665 -10860.908319749999 87.22 0.0028 -5275.76544 -1469.9124032129614 -0.0006339522496307563
298.15 TI CR 0.29 0.71 -6710.932 4120.598 36.329129 -10831.52981135 90.335 0.0029 -5299.9874199999995 -1492.7148576699553 -0.0007824826378585734
298.15 TI CR 0.3 0.7 -6754.281 4047.211 36.228382 -10801.4920933 93.45 0.003 -5324.2094 -1514.313164037668 -0.0009589426299389484
298.15 TI CR 0.31 0.69 -6796.497 3974.322 36.125503 -10770.81871945 96.565 0.0031 -5348.43138 -1534.730844232385 -0.0011673837661636726
298.15 TI CR 0.32 0.68 -6837.604 3901.927 36.020564 -10739.5311566 99.68 0.0032 -5372.65336 -1553.9894352015579 -0.0014122831062531396
298.15 TI CR 0.33 0.67 -6877.624 3830.025 35.913631 -10707.64908265 102.795 0.0033 -5396.87534 -1572.1086551954763 -0.0016985720130559688
298.15 TI CR 0.34 0.66 -6916.578 3758.612 35.804765 -10675.19068475 105.91 0.0034 -5421.09732 -1589.1065487133012 -0.0020316658776921175
298.15 TI CR 0.35 0.65 -6954.485 3687.687 35.69402 -10642.172063 109.025 0.0035 -5445.3193 -1604.9996131775667 -0.0024174947869765057
298.15 TI CR 0.36 0.64 -6991.362 3617.246 35.581447 -10608.608423049998 112.14 0.0036 -5469.5412799999995 -1619.8029098595373 -0.0028625351343344297
298.15 TI CR 0.37 0.63 -7027.225 3547.288 35.467092 -10574.5134798 115.255 0.0037 -5493.76326 -1633.5301611487748 -0.0033738421759006605
