T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 TI GA 0.0 1.0 -4597.55 6475.8 37.1402 -11073.350629999999 0.0 0.0 -4597.55 0.0 -0.0
298.15 TI GA 1.0 0.0 -11131.13 4500.001 52.427056 -15631.1267464 0.0 0.0 -11131.13 0.0 -0.0
298.15 TI GA 0.01 0.99 -6271.326 4839.625 37.266312 -11110.950922799999 0.0 0.0 -4662.8858 -138.82602141683572 -0.0
298.15 TI GA 0.02 0.98 -7861.671 3260.16 37.302802 -11121.8304163 0.0 0.0 -4728.2216 -243.03584172567548 -0.0
298.15 TI GA 0.03 0.97 -9390.562 1736.668 37.320913 -11127.230210949998 0.0 0.0 -4793.5574 -334.02154674813943 -0.0
298.15 TI GA 0.04 0.96 -10863.13 268.4138 37.335384 -11131.544739599998 0.0 0.0 -4858.8932 -416.3281974105132 -0.0
298.15 TI GA 0.05 0.95 -12282.12 -1145.34 37.352943 -11136.77995545 0.0 0.0 -4924.228999999999 -492.11297050679866 -0.0
298.15 TI GA 0.06 0.94 -13649.38 -2505.329 37.377342 -11144.0545173 0.0 0.0 -4989.5648 -562.6452650375949 -0.0
298.15 TI GA 0.07 0.93 -14966.34 -3812.29 37.410884 -11154.0550646 0.0 0.0 -5054.9006 -628.7628773593874 -0.0
298.15 TI GA 0.08 0.92 -16234.18 -5066.959 37.455058 -11167.2255427 0.0 0.0 -5120.2364 -691.0604007790716 -0.0
298.15 TI GA 0.09 0.91 -17453.93 -6270.072 37.510846 -11183.858734899999 0.0 0.0 -5185.5722000000005 -749.9816351924776 -0.0
298.15 TI GA 0.1 0.9 -18626.52 -7422.367 37.578896 -11204.1478424 0.0 0.0 -5250.908 -805.870345271772 -0.0
298.15 TI GA 0.11 0.89 -19752.79 -8524.58 37.659619 -11228.21540485 0.0 0.0 -5316.2438 -859.000492370776 -0.0
298.15 TI GA 0.12 0.88 -20833.58 -9577.446 37.753258 -11256.1338727 0.0 0.0 -5381.5796 -909.5953759771999 -0.0
298.15 TI GA 0.13 0.87 -21869.64 -10581.7 37.859929 -11287.93783135 0.0 0.0 -5446.9154 -957.840348132521 -0.0
298.15 TI GA 0.14 0.86 -22861.72 -11538.08 37.979651 -11323.632945649999 0.0 0.0 -5512.251200000001 -1003.8915915105914 -0.0
298.15 TI GA 0.15 0.85 -23810.53 -12447.33 38.112362 -11363.2007303 0.0 0.0 -5577.5869999999995 -1047.882375954332 -0.0
298.15 TI GA 0.16 0.84 -24716.78 -13310.18 38.257944 -11406.6060036 0.0 0.0 -5642.9228 -1089.9276385420173 -0.0
298.15 TI GA 0.17 0.83 -25581.15 -14127.36 38.416225 -11453.797483749999 0.0 0.0 -5708.2586 -1130.1274135160918 -0.0
298.15 TI GA 0.18 0.82 -26404.32 -14899.61 38.586993 -11504.71196295 0.0 0.0 -5773.5944 -1168.5694517045056 -0.0
298.15 TI GA 0.19 0.81 -27186.95 -15627.67 38.770003 -11559.27639445 0.0 0.0 -5838.930200000001 -1205.3312553507326 -0.0
298.15 TI GA 0.2 0.8 -27929.68 -16312.28 38.964978 -11617.4081907 0.0 0.0 -5904.2660000000005 -1240.4816826440385 -0.0
298.15 TI GA 0.21 0.79 -28633.18 -16954.16 39.17162 -11679.018502999998 0.0 0.0 -5969.6018 -1274.08222978906 -0.0
298.15 TI GA 0.22 0.78 -29298.08 -17554.07 39.389607 -11744.011327049999 0.0 0.0 -6034.9376 -1306.188067542519 -0.0
298.15 TI GA 0.23 0.77 -29925.01 -18112.73 39.618599 -11812.28529185 0.0 0.0 -6100.2734 -1336.8488881016199 -0.0
298.15 TI GA 0.24 0.76 -30514.61 -18630.88 39.858241 -11883.734554149998 0.0 0.0 -6165.6092 -1366.1096036088943 -0.0
298.15 TI GA 0.25 0.75 -31067.5 -19109.25 40.108164 -11958.2490966 0.0 0.0 -6230.945 -1394.0109271940482 -0.0
298.15 TI GA 0.26 0.74 -31584.31 -19548.59 40.367986 -12035.7150259 0.0 0.0 -6296.2808 -1420.5898600324033 -0.0
298.15 TI GA 0.27 0.73 -32065.64 -19949.63 40.637312 -12116.014572799999 0.0 0.0 -6361.616599999999 -1445.8801024662048 -0.0
298.15 TI GA 0.28 0.72 -32512.13 -20313.1 40.915741 -12199.028179149998 0.0 0.0 -6426.9524 -1469.9124032129614 -0.0
298.15 TI GA 0.29 0.71 -32924.38 -20639.75 41.20286 -12284.632709 0.0 0.0 -6492.288199999999 -1492.7148576699553 -0.0
298.15 TI GA 0.3 0.7 -33303.01 -20930.31 41.498249 -12372.70293935 0.0 0.0 -6557.624 -1514.313164037668 -0.0
298.15 TI GA 0.31 0.69 -33648.62 -21185.51 41.801482 -12463.111858299999 0.0 0.0 -6622.9598 -1534.730844232385 -0.0
