T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 TI TA 0.0 1.0 -4597.55 6475.8 37.1402 -11073.350629999999 0.0 0.0 -4597.55 0.0 -0.0
298.15 TI TA 1.0 0.0 -12364.82 -0.001079874 41.471806 -12364.8189589 0.0 0.0 -12364.82 0.0 -0.0
298.15 TI TA 0.01 0.99 -4670.994 6554.097 37.649141 -11225.091389149999 0.0 0.0 -4675.222699999999 -138.82602141683572 -0.0
298.15 TI TA 0.02 0.98 -4713.692 6628.524 38.041979 -11342.216038849998 0.0 0.0 -4752.8954 -243.03584172567548 -0.0
298.15 TI TA 0.03 0.97 -4747.005 6699.111 38.390463 -11446.116543449998 0.0 0.0 -4830.5680999999995 -334.02154674813943 -0.0
298.15 TI TA 0.04 0.96 -4775.45 6765.888 38.709837 -11541.33790155 0.0 0.0 -4908.2408000000005 -416.3281974105132 -0.0
298.15 TI TA 0.05 0.95 -4801.152 6828.885 39.007337 -11630.037526549999 0.0 0.0 -4985.9135 -492.11297050679866 -0.0
298.15 TI TA 0.06 0.94 -4825.352 6888.132 39.28722 -11713.484642999998 0.0 0.0 -5063.5862 -562.6452650375949 -0.0
298.15 TI TA 0.07 0.93 -4848.858 6943.659 39.552296 -11792.517052399999 0.0 0.0 -5141.2589 -628.7628773593874 -0.0
298.15 TI TA 0.08 0.92 -4872.233 6995.496 39.804559 -11867.72926585 0.0 0.0 -5218.9316 -691.0604007790716 -0.0
298.15 TI TA 0.09 0.91 -4895.892 7043.673 40.045498 -11939.5652287 0.0 0.0 -5296.604300000001 -749.9816351924776 -0.0
298.15 TI TA 0.1 0.9 -4920.148 7088.22 40.276266 -12008.3687079 0.0 0.0 -5374.277 -805.870345271772 -0.0
298.15 TI TA 0.11 0.89 -4945.246 7129.167 40.497782 -12074.413703299999 0.0 0.0 -5451.9497 -859.000492370776 -0.0
298.15 TI TA 0.12 0.88 -4971.379 7166.544 40.710794 -12137.9232311 0.0 0.0 -5529.6224 -909.5953759771999 -0.0
298.15 TI TA 0.13 0.87 -4998.702 7200.381 40.915925 -12199.08303875 0.0 0.0 -5607.2951 -957.840348132521 -0.0
298.15 TI TA 0.14 0.86 -5027.341 7230.708 41.113697 -12258.04876055 0.0 0.0 -5684.9678 -1003.8915915105914 -0.0
