T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 TI ZR 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 0.0 0.0 -6719.723 0.0 -0.0
298.15 TI ZR 1.0 0.0 -4597.55 6475.8 37.1402 -11073.350629999999 0.0 0.0 -4597.55 0.0 -0.0
298.15 TI ZR 0.01 0.99 -6867.675 7262.182 47.391771 -14129.856523649998 0.0 0.0 -6698.50127 -138.82602141683572 -0.0
298.15 TI ZR 0.02 0.98 -6980.398 7214.058 47.608439 -14194.456087849998 0.0 0.0 -6677.2795399999995 -243.03584172567548 -0.0
298.15 TI ZR 0.03 0.97 -7079.283 7166.755 47.781447 -14246.038423049999 0.0 0.0 -6656.057809999999 -334.02154674813943 -0.0
298.15 TI ZR 0.04 0.96 -7168.877 7120.272 47.926039 -14289.14852785 0.0 0.0 -6634.83608 -416.3281974105132 -0.0
298.15 TI ZR 0.05 0.95 -7251.335 7074.609 48.049451 -14325.943815649998 0.0 0.0 -6613.614349999999 -492.11297050679866 -0.0
298.15 TI ZR 0.06 0.94 -7327.928 7029.765 48.15594 -14357.693511 0.0 0.0 -6592.39262 -562.6452650375949 -0.0
298.15 TI ZR 0.07 0.93 -7399.493 6985.742 48.248316 -14385.2354154 0.0 0.0 -6571.170889999999 -628.7628773593874 -0.0
298.15 TI ZR 0.08 0.92 -7466.625 6942.539 48.328573 -14409.16403995 0.0 0.0 -6549.94916 -691.0604007790716 -0.0
298.15 TI ZR 0.09 0.91 -7529.768 6900.156 48.3982 -14429.92333 0.0 0.0 -6528.72743 -749.9816351924776 -0.0
298.15 TI ZR 0.1 0.9 -7589.265 6858.592 48.45835 -14447.8570525 0.0 0.0 -6507.505700000001 -805.870345271772 -0.0
298.15 TI ZR 0.11 0.89 -7645.39 6817.849 48.509942 -14463.2392073 0.0 0.0 -6486.2839699999995 -859.000492370776 -0.0
298.15 TI ZR 0.12 0.88 -7698.367 6777.926 48.553724 -14476.2928106 0.0 0.0 -6465.06224 -909.5953759771999 -0.0
298.15 TI ZR 0.13 0.87 -7748.381 6738.823 48.590319 -14487.20360985 0.0 0.0 -6443.84051 -957.840348132521 -0.0
298.15 TI ZR 0.14 0.86 -7795.588 6700.539 48.62025 -14496.127537499999 0.0 0.0 -6422.61878 -1003.8915915105914 -0.0
298.15 TI ZR 0.15 0.85 -7840.122 6663.076 48.643964 -14503.197866599998 0.0 0.0 -6401.39705 -1047.882375954332 -0.0
298.15 TI ZR 0.16 0.84 -7882.097 6626.433 48.661846 -14508.529384899997 0.0 0.0 -6380.17532 -1089.9276385420173 -0.0
298.15 TI ZR 0.17 0.83 -7921.613 6590.61 48.674233 -14512.22256895 0.0 0.0 -6358.953589999999 -1130.1274135160918 -0.0
298.15 TI ZR 0.18 0.82 -7958.759 6555.606 48.681419 -14514.365074849999 0.0 0.0 -6337.731860000001 -1168.5694517045056 -0.0
298.15 TI ZR 0.19 0.81 -7993.611 6521.423 48.683663 -14515.03412345 0.0 0.0 -6316.51013 -1205.3312553507326 -0.0
298.15 TI ZR 0.2 0.8 -8026.239 6488.06 48.681196 -14514.298587399999 0.0 0.0 -6295.2884 -1240.4816826440385 -0.0
298.15 TI ZR 0.21 0.79 -8056.703 6455.517 48.674225 -14512.22018375 0.0 0.0 -6274.06667 -1274.08222978906 -0.0
298.15 TI ZR 0.22 0.78 -8085.06 6423.794 48.662935 -14508.854070249998 0.0 0.0 -6252.84494 -1306.188067542519 -0.0
298.15 TI ZR 0.23 0.77 -8111.359 6392.89 48.647492 -14504.2497398 0.0 0.0 -6231.62321 -1336.8488881016199 -0.0
298.15 TI ZR 0.24 0.76 -8135.645 6362.807 48.628047 -14498.452213049999 0.0 0.0 -6210.40148 -1366.1096036088943 -0.0
298.15 TI ZR 0.25 0.75 -8157.958 6333.544 48.604737 -14491.502336549998 0.0 0.0 -6189.17975 -1394.0109271940482 -0.0
298.15 TI ZR 0.26 0.74 -8178.336 6305.101 48.577685 -14483.43678275 0.0 0.0 -6167.95802 -1420.5898600324033 -0.0
298.15 TI ZR 0.27 0.73 -8196.812 6277.477 48.547005 -14474.289540749998 0.0 0.0 -6146.73629 -1445.8801024662048 -0.0
298.15 TI ZR 0.28 0.72 -8213.417 6250.674 48.5128 -14464.091319999998 0.0 0.0 -6125.5145600000005 -1469.9124032129614 -0.0
298.15 TI ZR 0.29 0.71 -8228.179 6224.691 48.475164 -14452.870146599998 0.0 0.0 -6104.292829999999 -1492.7148576699553 -0.0
298.15 TI ZR 0.3 0.7 -8241.124 6199.528 48.434183 -14440.651661449998 0.0 0.0 -6083.0711 -1514.313164037668 -0.0
298.15 TI ZR 0.31 0.69 -8252.275 6175.184 48.389936 -14427.459418399998 0.0 0.0 -6061.84937 -1534.730844232385 -0.0
298.15 TI ZR 0.32 0.68 -8261.654 6151.661 48.342496 -14413.315182399998 0.0 0.0 -6040.62764 -1553.9894352015579 -0.0
298.15 TI ZR 0.33 0.67 -8269.281 6128.958 48.291928 -14398.238333199999 0.0 0.0 -6019.4059099999995 -1572.1086551954763 -0.0
298.15 TI ZR 0.34 0.66 -8275.173 6107.075 48.238294 -14382.2473561 0.0 0.0 -5998.18418 -1589.1065487133012 -0.0
298.15 TI ZR 0.35 0.65 -8279.347 6086.011 48.181647 -14365.358053049998 0.0 0.0 -5976.96245 -1604.9996131775667 -0.0
298.15 TI ZR 0.36 0.64 -8281.818 6065.768 48.12204 -14347.586225999998 0.0 0.0 -5955.74072 -1619.8029098595373 -0.0
298.15 TI ZR 0.37 0.63 -8282.6 6046.345 48.059518 -14328.945291699998 0.0 0.0 -5934.51899 -1633.5301611487748 -0.0
298.15 TI ZR 0.38 0.62 -8281.706 6027.742 47.994122 -14309.447474299997 0.0 0.0 -5913.29726 -1646.193835911596 -0.0
298.15 TI ZR 0.39 0.61 -8279.146 6009.958 47.925891 -14289.104401649998 0.0 0.0 -5892.07553 -1657.8052243977716 -0.0
298.15 TI ZR 0.4 0.6 -8274.931 5992.995 47.854858 -14267.925912699999 0.0 0.0 -5870.8538 -1668.3745039196444 -0.0
298.15 TI ZR 0.41 0.59 -8269.07 5976.852 47.781055 -14245.92154825 0.0 0.0 -5849.632070000001 -1677.9107963326926 -0.0
298.15 TI ZR 0.42 0.58 -8261.571 5961.529 47.704509 -14223.099358349999 0.0 0.0 -5828.41034 -1686.4222181834425 -0.0
298.15 TI ZR 0.43 0.57 -8252.441 5947.025 47.625243 -14199.466200449999 0.0 0.0 -5807.188610000001 -1693.9159242532326 -0.0
298.15 TI ZR 0.44 0.56 -8241.686 5933.342 47.543279 -14175.02863385 0.0 0.0 -5785.96688 -1700.3981451097393 -0.0
298.15 TI ZR 0.45 0.55 -8229.313 5920.479 47.458634 -14149.7917271 0.0 0.0 -5764.745150000001 -1705.8742191782392 -0.0
298.15 TI ZR 0.46 0.54 -8215.324 5908.436 47.371323 -14123.759952449998 0.0 0.0 -5743.52342 -1710.3486197582595 -0.0
298.15 TI ZR 0.47 0.53 -8199.725 5897.212 47.281359 -14096.93718585 0.0 0.0 -5722.30169 -1713.8249773357109 -0.0
298.15 TI ZR 0.48 0.52 -8182.517 5886.809 47.18875 -14069.3258125 0.0 0.0 -5701.07996 -1716.3060974737868 -0.0
298.15 TI ZR 0.49 0.51 -8163.703 5877.226 47.093505 -14040.92851575 0.0 0.0 -5679.85823 -1717.7939745058845 -0.0
