T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 ZN MN 0.0 1.0 -10273.5 2886.96 44.1404 -13160.460259999998 0.0 0.0 -10273.5 0.0 -0.0
298.15 ZN MN 1.0 0.0 -5837.291 4894.945 35.996096 -10732.2360224 0.0 0.0 -5837.291 0.0 -0.0
298.15 ZN MN 0.01 0.99 -10455.68 2819.326 44.524583 -13275.00442145 0.0 0.0 -10229.13791 -138.82602141683572 -0.0
298.15 ZN MN 0.02 0.98 -10601.47 2753.464 44.792661 -13354.93187715 0.0 0.0 -10184.77582 -243.03584172567548 -0.0
298.15 ZN MN 0.03 0.97 -10732.26 2689.374 45.016386 -13421.635485899998 0.0 0.0 -10140.41373 -334.02154674813943 -0.0
298.15 ZN MN 0.04 0.96 -10852.6 2627.056 45.211001 -13479.65994815 0.0 0.0 -10096.05164 -416.3281974105132 -0.0
298.15 ZN MN 0.05 0.95 -10964.65 2566.51 45.383742 -13531.162677299999 0.0 0.0 -10051.68955 -492.11297050679866 -0.0
298.15 ZN MN 0.06 0.94 -11069.68 2507.735 45.538866 -13577.412897899998 0.0 0.0 -10007.32746 -562.6452650375949 -0.0
298.15 ZN MN 0.07 0.93 -11168.51 2450.733 45.679183 -13619.24841145 0.0 0.0 -9962.96537 -628.7628773593874 -0.0
298.15 ZN MN 0.08 0.92 -11261.76 2395.503 45.806687 -13657.263729049999 0.0 0.0 -9918.603280000001 -691.0604007790716 -0.0
298.15 ZN MN 0.09 0.91 -11349.86 2342.045 45.922867 -13691.902796049997 0.0 0.0 -9874.24119 -749.9816351924776 -0.0
298.15 ZN MN 0.1 0.9 -11433.15 2290.359 46.028876 -13723.509379399999 0.0 0.0 -9829.8791 -805.870345271772 -0.0
298.15 ZN MN 0.11 0.89 -11511.91 2240.445 46.125632 -13752.3571808 0.0 0.0 -9785.517010000001 -859.000492370776 -0.0
298.15 ZN MN 0.12 0.88 -11586.37 2192.303 46.213885 -13778.669812749999 0.0 0.0 -9741.15492 -909.5953759771999 -0.0
298.15 ZN MN 0.13 0.87 -11656.7 2145.932 46.294257 -13802.63272455 0.0 0.0 -9696.79283 -957.840348132521 -0.0
298.15 ZN MN 0.14 0.86 -11723.07 2101.334 46.367271 -13824.401848649999 0.0 0.0 -9652.43074 -1003.8915915105914 -0.0
298.15 ZN MN 0.15 0.85 -11785.6 2058.508 46.433374 -13844.1104581 0.0 0.0 -9608.068650000001 -1047.882375954332 -0.0
298.15 ZN MN 0.16 0.84 -11844.42 2017.454 46.492951 -13861.873340649998 0.0 0.0 -9563.70656 -1089.9276385420173 -0.0
298.15 ZN MN 0.17 0.83 -11899.62 1978.172 46.546339 -13877.79097285 0.0 0.0 -9519.34447 -1130.1274135160918 -0.0
298.15 ZN MN 0.18 0.82 -11951.29 1940.662 46.593831 -13891.95071265 0.0 0.0 -9474.982380000001 -1168.5694517045056 -0.0
298.15 ZN MN 0.19 0.81 -11999.51 1904.923 46.635688 -13904.4303772 0.0 0.0 -9430.620289999999 -1205.3312553507326 -0.0
298.15 ZN MN 0.2 0.8 -12044.34 1870.957 46.67214 -13915.298540999998 0.0 0.0 -9386.2582 -1240.4816826440385 -0.0
