T[K] A B X(A) X(B) G[J/mol] H[J/mol] S[J/mol/K] -ST[J/mol] TC[K] BMAG[mu_B] G_SRF[J/mol] G_MIX[J/mol] G_MAG[J/mol]
298.15 ZR ZN 0.0 1.0 -6719.723 7311.125 47.059694 -14030.8477661 0.0 0.0 -6719.723 0.0 -0.0
298.15 ZR ZN 1.0 0.0 -10273.74 2886.96 44.1412 -13160.698779999999 0.0 0.0 -10273.74 0.0 -0.0
298.15 ZR ZN 0.01 0.99 -7270.263 6807.729 47.217818 -14077.992436699999 0.0 0.0 -6755.26317 -138.82602141683572 -0.0
298.15 ZR ZN 0.02 0.98 -7789.752 6301.395 47.261937 -14091.14651655 0.0 0.0 -6790.8033399999995 -243.03584172567548 -0.0
298.15 ZR ZN 0.03 0.97 -8299.24 5792.495 47.263909 -14091.734468349998 0.0 0.0 -6826.34351 -334.02154674813943 -0.0
298.15 ZR ZN 0.04 0.96 -8802.929 5281.404 47.239086 -14084.333490899999 0.0 0.0 -6861.88368 -416.3281974105132 -0.0
298.15 ZR ZN 0.05 0.95 -9302.636 4768.497 47.194811 -14071.13289965 0.0 0.0 -6897.423849999999 -492.11297050679866 -0.0
298.15 ZR ZN 0.06 0.94 -9799.288 4254.146 47.135449 -14053.434119349999 0.0 0.0 -6932.964019999999 -562.6452650375949 -0.0
298.15 ZR ZN 0.07 0.93 -10293.38 3738.726 47.063919 -14032.107449849998 0.0 0.0 -6968.50419 -628.7628773593874 -0.0
298.15 ZR ZN 0.08 0.92 -10785.17 3222.61 46.982322 -14007.7793043 0.0 0.0 -7004.04436 -691.0604007790716 -0.0
298.15 ZR ZN 0.09 0.91 -11274.75 2706.173 46.892255 -13980.925828249998 0.0 0.0 -7039.58453 -749.9816351924776 -0.0
298.15 ZR ZN 0.1 0.9 -11762.13 2189.788 46.794978 -13951.9226907 0.0 0.0 -7075.1247 -805.870345271772 -0.0
298.15 ZR ZN 0.11 0.89 -12247.25 1673.83 46.691519 -13921.076389849999 0.0 0.0 -7110.66487 -859.000492370776 -0.0
